geoid,county_name,category,poverty,alice,above_alice
48131,Duval,single_cohab,,,
48131,Duval,fam_kids,,,
48131,Duval,over_65,,,
48133,Eastland,single_cohab,,,
48133,Eastland,fam_kids,,,
48133,Eastland,over_65,,,
48135,Ector,single_cohab,,,
48135,Ector,fam_kids,,,
48135,Ector,over_65,,,
48137,Edwards,single_cohab,,,
48137,Edwards,fam_kids,,,
48137,Edwards,over_65,,,
48141,El Paso,single_cohab,,,
48141,El Paso,fam_kids,,,
48141,El Paso,over_65,,,
48139,Ellis,single_cohab,,,
48139,Ellis,fam_kids,,,
48139,Ellis,over_65,,,
48143,Erath,single_cohab,,,
48143,Erath,fam_kids,,,
48143,Erath,over_65,,,
48145,Falls,single_cohab,,,
48145,Falls,fam_kids,,,
48145,Falls,over_65,,,
48147,Fannin,single_cohab,,,
48147,Fannin,fam_kids,,,
48147,Fannin,over_65,,,
48149,Fayette,single_cohab,,,
48149,Fayette,fam_kids,,,
48149,Fayette,over_65,,,
48151,Fisher,single_cohab,,,
48151,Fisher,fam_kids,,,
48151,Fisher,over_65,,,
48153,Floyd,single_cohab,,,
48153,Floyd,fam_kids,,,
48153,Floyd,over_65,,,
48155,Foard,single_cohab,,,
48155,Foard,fam_kids,,,
48155,Foard,over_65,,,
48157,Fort Bend,single_cohab,,,
48157,Fort Bend,fam_kids,,,
48157,Fort Bend,over_65,,,
48159,Franklin,single_cohab,,,
48159,Franklin,fam_kids,,,
48159,Franklin,over_65,,,
48161,Freestone,single_cohab,,,
48161,Freestone,fam_kids,,,
48161,Freestone,over_65,,,
48163,Frio,single_cohab,,,
48163,Frio,fam_kids,,,
48163,Frio,over_65,,,
48165,Gaines,single_cohab,,,
48165,Gaines,fam_kids,,,
48165,Gaines,over_65,,,
48167,Galveston,single_cohab,,,
48167,Galveston,fam_kids,,,
48167,Galveston,over_65,,,
48169,Garza,single_cohab,,,
48169,Garza,fam_kids,,,
48169,Garza,over_65,,,
48171,Gillespie,single_cohab,,,
48171,Gillespie,fam_kids,,,
48171,Gillespie,over_65,,,
48173,Glasscock,single_cohab,,,
48173,Glasscock,fam_kids,,,
48173,Glasscock,over_65,,,
48175,Goliad,single_cohab,,,
48175,Goliad,fam_kids,,,
48175,Goliad,over_65,,,
48177,Gonzales,single_cohab,,,
48177,Gonzales,fam_kids,,,
48177,Gonzales,over_65,,,
48179,Gray,single_cohab,,,
48179,Gray,fam_kids,,,
48179,Gray,over_65,,,
48181,Grayson,single_cohab,,,
48181,Grayson,fam_kids,,,
48181,Grayson,over_65,,,
48183,Gregg,single_cohab,,,
48183,Gregg,fam_kids,,,
48183,Gregg,over_65,,,
48185,Grimes,single_cohab,,,
48185,Grimes,fam_kids,,,
48185,Grimes,over_65,,,
48187,Guadalupe,single_cohab,,,
48187,Guadalupe,fam_kids,,,
48187,Guadalupe,over_65,,,
48189,Hale,single_cohab,,,
48189,Hale,fam_kids,,,
48189,Hale,over_65,,,
48191,Hall,single_cohab,,,
48191,Hall,fam_kids,,,
48191,Hall,over_65,,,
48193,Hamilton,single_cohab,,,
48193,Hamilton,fam_kids,,,
48193,Hamilton,over_65,,,
48195,Hansford,single_cohab,,,
48195,Hansford,fam_kids,,,
48195,Hansford,over_65,,,
48197,Hardeman,single_cohab,,,
48197,Hardeman,fam_kids,,,
48197,Hardeman,over_65,,,
48199,Hardin,single_cohab,,,
48199,Hardin,fam_kids,,,
48199,Hardin,over_65,,,
48201,Harris,single_cohab,,,
48201,Harris,fam_kids,,,
48201,Harris,over_65,,,
48203,Harrison,single_cohab,,,
48203,Harrison,fam_kids,,,
48203,Harrison,over_65,,,
48205,Hartley,single_cohab,,,
48205,Hartley,fam_kids,,,
48205,Hartley,over_65,,,
48207,Haskell,single_cohab,,,
48207,Haskell,fam_kids,,,
48207,Haskell,over_65,,,
48209,Hays,single_cohab,,,
48209,Hays,fam_kids,,,
48209,Hays,over_65,,,
48211,Hemphill,single_cohab,,,
48211,Hemphill,fam_kids,,,
48211,Hemphill,over_65,,,
48213,Henderson,single_cohab,,,
48213,Henderson,fam_kids,,,
48213,Henderson,over_65,,,
48215,Hidalgo,single_cohab,,,
48215,Hidalgo,fam_kids,,,
48215,Hidalgo,over_65,,,
48217,Hill,single_cohab,,,
48217,Hill,fam_kids,,,
48217,Hill,over_65,,,
48219,Hockley,single_cohab,,,
48219,Hockley,fam_kids,,,
48219,Hockley,over_65,,,
48221,Hood,single_cohab,,,
48221,Hood,fam_kids,,,
48221,Hood,over_65,,,
48223,Hopkins,single_cohab,,,
48223,Hopkins,fam_kids,,,
48223,Hopkins,over_65,,,
48225,Houston,single_cohab,,,
48225,Houston,fam_kids,,,
48225,Houston,over_65,,,
48227,Howard,single_cohab,,,
48227,Howard,fam_kids,,,
48227,Howard,over_65,,,
48229,Hudspeth,single_cohab,,,
48229,Hudspeth,fam_kids,,,
48229,Hudspeth,over_65,,,
48231,Hunt,single_cohab,,,
48231,Hunt,fam_kids,,,
48231,Hunt,over_65,,,
48233,Hutchinson,single_cohab,,,
48233,Hutchinson,fam_kids,,,
48233,Hutchinson,over_65,,,
48235,Irion,single_cohab,,,
48235,Irion,fam_kids,,,
48235,Irion,over_65,,,
48237,Jack,single_cohab,,,
48237,Jack,fam_kids,,,
48237,Jack,over_65,,,
48239,Jackson,single_cohab,,,
48239,Jackson,fam_kids,,,
48239,Jackson,over_65,,,
48241,Jasper,single_cohab,,,
48241,Jasper,fam_kids,,,
48241,Jasper,over_65,,,
48243,Jeff Davis,single_cohab,,,
48243,Jeff Davis,fam_kids,,,
48243,Jeff Davis,over_65,,,
48245,Jefferson,single_cohab,,,
48245,Jefferson,fam_kids,,,
48245,Jefferson,over_65,,,
48247,Jim Hogg,single_cohab,,,
48247,Jim Hogg,fam_kids,,,
48247,Jim Hogg,over_65,,,
48249,Jim Wells,single_cohab,,,
48249,Jim Wells,fam_kids,,,
48249,Jim Wells,over_65,,,
48251,Johnson,single_cohab,,,
48251,Johnson,fam_kids,,,
48251,Johnson,over_65,,,
48253,Jones,single_cohab,,,
48253,Jones,fam_kids,,,
48253,Jones,over_65,,,
48255,Karnes,single_cohab,,,
48255,Karnes,fam_kids,,,
48255,Karnes,over_65,,,
48257,Kaufman,single_cohab,,,
48257,Kaufman,fam_kids,,,
48257,Kaufman,over_65,,,
48259,Kendall,single_cohab,,,
48259,Kendall,fam_kids,,,
48259,Kendall,over_65,,,
48261,Kenedy,single_cohab,,,
48261,Kenedy,fam_kids,,,
48261,Kenedy,over_65,,,
48263,Kent,single_cohab,,,
48263,Kent,fam_kids,,,
48263,Kent,over_65,,,
48265,Kerr,single_cohab,,,
48265,Kerr,fam_kids,,,
48265,Kerr,over_65,,,
48267,Kimble,single_cohab,,,
48267,Kimble,fam_kids,,,
48267,Kimble,over_65,,,
48269,King,single_cohab,,,
48269,King,fam_kids,,,
48269,King,over_65,,,
48271,Kinney,single_cohab,,,
48271,Kinney,fam_kids,,,
48271,Kinney,over_65,,,
48273,Kleberg,single_cohab,,,
48273,Kleberg,fam_kids,,,
48273,Kleberg,over_65,,,
48275,Knox,single_cohab,,,
48275,Knox,fam_kids,,,
48275,Knox,over_65,,,
48283,La Salle,single_cohab,,,
48283,La Salle,fam_kids,,,
48283,La Salle,over_65,,,
48277,Lamar,single_cohab,,,
48277,Lamar,fam_kids,,,
48277,Lamar,over_65,,,
48279,Lamb,single_cohab,,,
48279,Lamb,fam_kids,,,
48279,Lamb,over_65,,,
48281,Lampasas,single_cohab,,,
48281,Lampasas,fam_kids,,,
48281,Lampasas,over_65,,,
48285,Lavaca,single_cohab,,,
48285,Lavaca,fam_kids,,,
48285,Lavaca,over_65,,,
48287,Lee,single_cohab,,,
48287,Lee,fam_kids,,,
48287,Lee,over_65,,,
48289,Leon,single_cohab,,,
48289,Leon,fam_kids,,,
48289,Leon,over_65,,,
48291,Liberty,single_cohab,,,
48291,Liberty,fam_kids,,,
48291,Liberty,over_65,,,
48293,Limestone,single_cohab,,,
48293,Limestone,fam_kids,,,
48293,Limestone,over_65,,,
48295,Lipscomb,single_cohab,,,
48295,Lipscomb,fam_kids,,,
48295,Lipscomb,over_65,,,
48297,Live Oak,single_cohab,,,
48297,Live Oak,fam_kids,,,
48297,Live Oak,over_65,,,
48299,Llano,single_cohab,,,
48299,Llano,fam_kids,,,
48299,Llano,over_65,,,
48301,Loving,single_cohab,,,
48301,Loving,fam_kids,,,
48301,Loving,over_65,,,
