geoid,county_name,category,poverty,alice,above_alice
48455,Trinity,single_cohab,407,784,1260
48455,Trinity,fam_kids,305,233,496
48455,Trinity,over_65,190,1164,1079
48457,Tyler,single_cohab,380,999,1436
48457,Tyler,fam_kids,433,151,1003
48457,Tyler,over_65,334,1270,1014
48459,Upshur,single_cohab,811,2072,3469
48459,Upshur,fam_kids,594,757,2198
48459,Upshur,over_65,561,1695,1879
48461,Upton,single_cohab,73,152,348
48461,Upton,fam_kids,93,58,252
48461,Upton,over_65,58,142,129
48463,Uvalde,single_cohab,419,1533,1668
48463,Uvalde,fam_kids,542,636,1008
48463,Uvalde,over_65,548,1306,1023
48465,Val Verde,single_cohab,636,2207,2825
48465,Val Verde,fam_kids,1366,1295,3087
48465,Val Verde,over_65,1045,1249,1719
48467,Van Zandt,single_cohab,985,2423,4331
48467,Van Zandt,fam_kids,901,978,3325
48467,Van Zandt,over_65,735,2770,3167
48469,Victoria,single_cohab,2411,4142,6834
48469,Victoria,fam_kids,2021,2407,4944
48469,Victoria,over_65,112,4736,3301
48471,Walker,single_cohab,3580,3937,3588
48471,Walker,fam_kids,1310,1629,2386
48471,Walker,over_65,457,1771,2978
48473,Waller,single_cohab,910,2784,3531
48473,Waller,fam_kids,931,1126,2455
48473,Waller,over_65,326,1118,1626
48475,Ward,single_cohab,206,464,1211
48475,Ward,fam_kids,214,123,735
48475,Ward,over_65,123,361,519
48477,Washington,single_cohab,580,1349,3147
48477,Washington,fam_kids,567,615,1799
48477,Washington,over_65,564,1646,2114
48479,Webb,single_cohab,3241,11423,12704
48479,Webb,fam_kids,10903,9380,12464
48479,Webb,over_65,5493,3807,5885
48481,Wharton,single_cohab,643,1718,3531
48481,Wharton,fam_kids,1163,991,2825
48481,Wharton,over_65,727,1580,2078
48483,Wheeler,single_cohab,97,132,662
48483,Wheeler,fam_kids,207,133,369
48483,Wheeler,over_65,76,276,302
48485,Wichita,single_cohab,3625,6499,10947
48485,Wichita,fam_kids,3218,3108,6939
48485,Wichita,over_65,1275,5299,5847
48487,Wilbarger,single_cohab,287,404,1723
48487,Wilbarger,fam_kids,287,375,750
48487,Wilbarger,over_65,172,651,614
48489,Willacy,single_cohab,625,899,731
48489,Willacy,fam_kids,977,411,473
48489,Willacy,over_65,419,665,610
48491,Williamson,single_cohab,3930,28265,48648
48491,Williamson,fam_kids,4441,20830,43441
48491,Williamson,over_65,1879,12243,21650
48493,Wilson,single_cohab,647,1907,4062
48493,Wilson,fam_kids,592,1067,3564
48493,Wilson,over_65,323,1349,2309
48495,Winkler,single_cohab,102,352,683
48495,Winkler,fam_kids,163,158,543
48495,Winkler,over_65,151,201,219
48497,Wise,single_cohab,861,3156,5574
48497,Wise,fam_kids,1125,2100,3768
48497,Wise,over_65,436,2030,3030
48499,Wood,single_cohab,1089,1669,3691
48499,Wood,fam_kids,745,953,1730
48499,Wood,over_65,557,2653,3444
48501,Yoakum,single_cohab,36,258,700
48501,Yoakum,fam_kids,88,128,856
48501,Yoakum,over_65,132,193,285
48503,Young,single_cohab,405,535,2014
48503,Young,fam_kids,258,617,1170
48503,Young,over_65,206,796,1104
48505,Zapata,single_cohab,277,509,565
48505,Zapata,fam_kids,916,533,405
48505,Zapata,over_65,351,356,493
48507,Zavala,single_cohab,229,752,549
48507,Zavala,fam_kids,616,78,334
48507,Zavala,over_65,335,450,166
