geoid,county_name,category,poverty,alice,above_alice
48105,Crockett,single_cohab,126,51,479
48105,Crockett,fam_kids,124,35,280
48105,Crockett,over_65,57,92,144
48107,Crosby,single_cohab,138,345,287
48107,Crosby,fam_kids,169,194,255
48107,Crosby,over_65,118,287,251
48109,Culberson,single_cohab,28,147,97
48109,Culberson,fam_kids,80,38,39
48109,Culberson,over_65,49,146,57
48111,Dallam,single_cohab,91,505,602
48111,Dallam,fam_kids,118,178,474
48111,Dallam,over_65,13,207,216
48113,Dallas,single_cohab,42408,129683,314752
48113,Dallas,fam_kids,50413,75813,157600
48113,Dallas,over_65,23894,58337,84538
48115,Dawson,single_cohab,323,713,955
48115,Dawson,fam_kids,351,312,485
48115,Dawson,over_65,228,391,564
48117,Deaf Smith,single_cohab,203,912,1601
48117,Deaf Smith,fam_kids,517,498,1172
48117,Deaf Smith,over_65,234,441,561
48119,Delta,single_cohab,185,132,512
48119,Delta,fam_kids,193,39,324
48119,Delta,over_65,47,191,392
48121,Denton,single_cohab,13211,38183,95333
48121,Denton,fam_kids,6430,17051,81189
48121,Denton,over_65,2066,17687,26749
48123,DeWitt,single_cohab,305,711,1530
48123,DeWitt,fam_kids,390,442,1424
48123,DeWitt,over_65,547,802,937
48125,Dickens,single_cohab,66,105,158
48125,Dickens,fam_kids,55,14,139
48125,Dickens,over_65,69,123,113
48127,Dimmit,single_cohab,195,516,449
48127,Dimmit,fam_kids,403,194,440
48127,Dimmit,over_65,401,461,250
48129,Donley,single_cohab,110,195,293
48129,Donley,fam_kids,53,43,151
48129,Donley,over_65,35,202,208
48131,Duval,single_cohab,211,509,523
48131,Duval,fam_kids,436,381,266
48131,Duval,over_65,260,517,408
48133,Eastland,single_cohab,593,1195,1152
48133,Eastland,fam_kids,348,190,461
48133,Eastland,over_65,312,1185,1024
48135,Ector,single_cohab,1383,8997,16150
48135,Ector,fam_kids,2532,5247,10100
48135,Ector,over_65,1487,3652,4778
48137,Edwards,single_cohab,14,81,113
48137,Edwards,fam_kids,,,
48137,Edwards,over_65,73,146,199
48141,El Paso,single_cohab,15820,45312,58403
48141,El Paso,fam_kids,26171,20774,42008
48141,El Paso,over_65,14245,22742,24685
48139,Ellis,single_cohab,1361,7080,17313
48139,Ellis,fam_kids,2421,4112,13271
48139,Ellis,over_65,492,4509,8074
48143,Erath,single_cohab,2021,1729,3192
48143,Erath,fam_kids,681,768,2294
48143,Erath,over_65,280,1374,1622
48145,Falls,single_cohab,552,978,723
48145,Falls,fam_kids,507,324,428
48145,Falls,over_65,287,669,769
48147,Fannin,single_cohab,680,1503,3176
48147,Fannin,fam_kids,537,645,1855
48147,Fannin,over_65,518,1572,1745
48149,Fayette,single_cohab,481,921,2154
48149,Fayette,fam_kids,244,440,1425
48149,Fayette,over_65,447,1314,1641
48151,Fisher,single_cohab,108,138,397
48151,Fisher,fam_kids,88,29,286
48151,Fisher,over_65,130,188,285
48153,Floyd,single_cohab,114,206,599
48153,Floyd,fam_kids,209,43,476
48153,Floyd,over_65,81,313,287
48155,Foard,single_cohab,28,71,121
48155,Foard,fam_kids,12,45,52
48155,Foard,over_65,4,100,124
48157,Fort Bend,single_cohab,6365,35330,58681
48157,Fort Bend,fam_kids,8244,25374,67892
48157,Fort Bend,over_65,3615,14358,25551
48159,Franklin,single_cohab,176,434,831
48159,Franklin,fam_kids,106,208,731
48159,Franklin,over_65,73,653,594
48161,Freestone,single_cohab,379,825,1449
48161,Freestone,fam_kids,388,362,1203
48161,Freestone,over_65,280,930,1049
48163,Frio,single_cohab,203,812,666
48163,Frio,fam_kids,506,414,698
48163,Frio,over_65,279,484,562
48165,Gaines,single_cohab,179,811,1240
48165,Gaines,fam_kids,390,680,1369
48165,Gaines,over_65,234,441,393
48167,Galveston,single_cohab,5772,16929,31894
48167,Galveston,fam_kids,4564,6493,25572
48167,Galveston,over_65,3628,10993,16131
48169,Garza,single_cohab,64,83,426
48169,Garza,fam_kids,131,124,295
48169,Garza,over_65,50,170,285
48171,Gillespie,single_cohab,283,1098,2441
48171,Gillespie,fam_kids,476,294,1369
48171,Gillespie,over_65,319,1706,2731
48173,Glasscock,single_cohab,22,59,140
48173,Glasscock,fam_kids,5,39,75
48173,Glasscock,over_65,,,
48175,Goliad,single_cohab,186,211,662
48175,Goliad,fam_kids,120,82,445
48175,Goliad,over_65,157,338,480
48177,Gonzales,single_cohab,282,845,1807
48177,Gonzales,fam_kids,507,521,1184
48177,Gonzales,over_65,264,774,1000
48179,Gray,single_cohab,462,1266,1918
48179,Gray,fam_kids,495,365,1196
48179,Gray,over_65,227,1064,1007
48181,Grayson,single_cohab,2145,7310,11323
48181,Grayson,fam_kids,2691,3084,7608
48181,Grayson,over_65,1221,4958,8623
48183,Gregg,single_cohab,2196,5952,12815
48183,Gregg,fam_kids,3158,2574,7366
48183,Gregg,over_65,1277,3837,6338
48185,Grimes,single_cohab,329,1508,1886
48185,Grimes,fam_kids,671,594,922
48185,Grimes,over_65,421,1073,1389
48187,Guadalupe,single_cohab,1394,6767,15913
48187,Guadalupe,fam_kids,2011,4650,11987
48187,Guadalupe,over_65,1126,4257,6684
48189,Hale,single_cohab,763,1551,2439
48189,Hale,fam_kids,883,1026,1783
48189,Hale,over_65,423,1145,1133
48191,Hall,single_cohab,93,225,204
48191,Hall,fam_kids,119,39,147
48191,Hall,over_65,75,200,199
48193,Hamilton,single_cohab,206,352,658
48193,Hamilton,fam_kids,173,83,436
48193,Hamilton,over_65,137,428,635
48195,Hansford,single_cohab,129,300,288
48195,Hansford,fam_kids,151,220,348
48195,Hansford,over_65,10,299,110
48197,Hardeman,single_cohab,102,229,295
48197,Hardeman,fam_kids,69,69,238
48197,Hardeman,over_65,53,241,223
48199,Hardin,single_cohab,1077,2321,5023
48199,Hardin,fam_kids,947,669,4608
48199,Hardin,over_65,800,2312,2628
48201,Harris,single_cohab,84860,278333,427901
48201,Harris,fam_kids,115388,145420,263097
48201,Harris,over_65,39279,112085,133994
48203,Harrison,single_cohab,1275,2742,5319
48203,Harrison,fam_kids,1425,1581,4276
48203,Harrison,over_65,1066,2381,3152
48205,Hartley,single_cohab,8,146,451
48205,Hartley,fam_kids,48,86,460
48205,Hartley,over_65,46,212,224
48207,Haskell,single_cohab,83,258,536
48207,Haskell,fam_kids,195,50,244
48207,Haskell,over_65,118,299,342
48209,Hays,single_cohab,6964,13110,19971
48209,Hays,fam_kids,2723,4321,14361
48209,Hays,over_65,1000,5153,7561
48211,Hemphill,single_cohab,30,217,265
48211,Hemphill,fam_kids,112,113,294
48211,Hemphill,over_65,8,115,169
48213,Henderson,single_cohab,2558,3996,5704
48213,Henderson,fam_kids,1866,2052,3826
48213,Henderson,over_65,1217,5087,4537
48215,Hidalgo,single_cohab,12852,40744,34709
48215,Hidalgo,fam_kids,38121,22675,31951
48215,Hidalgo,over_65,18166,18083,20022
48217,Hill,single_cohab,717,1562,2855
48217,Hill,fam_kids,825,600,2074
48217,Hill,over_65,431,1630,2075
48219,Hockley,single_cohab,379,1315,1629
48219,Hockley,fam_kids,530,502,1558
48219,Hockley,over_65,312,900,821
48221,Hood,single_cohab,841,2727,5082
48221,Hood,fam_kids,1006,596,3501
48221,Hood,over_65,504,2992,4720
48223,Hopkins,single_cohab,546,1431,3439
48223,Hopkins,fam_kids,1067,544,2434
48223,Hopkins,over_65,480,1622,1842
48225,Houston,single_cohab,652,1309,1540
48225,Houston,fam_kids,798,308,771
48225,Houston,over_65,434,1131,1266
48227,Howard,single_cohab,586,1905,2266
48227,Howard,fam_kids,818,964,1676
48227,Howard,over_65,404,1129,1288
