"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","3.044","3561.58","2472.106","69.41","368.015","10.333","721.459","20.257"
"Office Clerks, General","2.84","3323.38","1923.456","57.876","701.066","21.095","698.859","21.029"
"Customer Service Representatives","2.635","3082.77","2041.571","66.225","570.443","18.504","470.757","15.271"
"Home Health and Personal Care Aides","7.87","9207.86","990.147","10.753","1554.968","16.887","6662.745","72.359"
"Heavy and Tractor-Trailer Truck Drivers","2.407","2816.71","1399.5","49.686","564.925","20.056","852.285","30.258"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.701","1990.4","1363.562","68.507","183.663","9.227","443.175","22.266"
"Elementary School Teachers, Except Special Education","2.659","3110.95","73.245","2.354","1469.432","47.234","1568.274","50.411"
"Retail Salespersons","1.615","1889.83","1118.112","59.165","410.061","21.698","361.657","19.137"
"Laborers and Freight, Stock, and Material Movers, Hand","1.665","1948.1","1163.641","59.732","339.481","17.426","444.978","22.842"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.661","1943.81","705.655","36.303","690.786","35.538","547.369","28.16"
"Secondary School Teachers, Except Special and Career/Technical Education","2.159","2525.75","129.809","5.139","1232.181","48.785","1163.761","46.076"
"Registered Nurses","2.295","2685.36","643.185","23.952","708.449","26.382","1333.727","49.667"
"Waiters and Waitresses","1.377","1610.94","714.206","44.335","566.068","35.139","330.666","20.526"
"Substitute Teachers, Short-Term","1.615","1889.12","274.085","14.509","854.428","45.229","760.606","40.262"
"Stockers and Order Fillers","1.205","1410.04","1076.243","76.327","50.896","3.61","282.902","20.063"
"Bookkeeping, Accounting, and Auditing Clerks","1.066","1247.63","1104.258","88.508","11.206","0.898","132.166","10.593"
"Teaching Assistants, Except Postsecondary","1.692","1980.27","442.791","22.36","647.888","32.717","889.59","44.923"
"Medical Assistants","1.636","1913.8","651.942","34.065","417.256","21.802","844.602","44.132"
"Cashiers","1.055","1234.09","967.076","78.364","87.646","7.102","179.368","14.534"
"Medical Secretaries and Administrative Assistants","0.968","1133.02","912.833","80.566","23.412","2.066","196.775","17.367"
"Nursing Assistants","2.009","2350.42","469.572","19.978","330.374","14.056","1550.474","65.966"
"Helpers--Production Workers","0.81","947.47","709.533","74.887","25.847","2.728","212.091","22.385"
"Childcare Workers","1.176","1376.18","186.483","13.551","505.432","36.727","684.265","49.722"
"First-Line Supervisors of Office and Administrative Support Workers","1.029","1204.18","188.008","15.613","498.658","41.411","517.514","42.976"
"Receptionists and Information Clerks","0.719","841.03","621.214","73.864","64.339","7.65","155.477","18.486"
"Landscaping and Groundskeeping Workers","0.83","971.05","261.885","26.969","420.92","43.347","288.245","29.684"
"Maids and Housekeeping Cleaners","0.71","830.23","295.459","35.588","293.562","35.359","241.209","29.053"
"Industrial Truck and Tractor Operators","0.703","822.93","407.706","49.543","158.69","19.284","256.533","31.173"
"Cooks, Restaurant","0.729","852.86","249.912","29.303","310.534","36.411","292.414","34.286"
"Shipping, Receiving, and Inventory Clerks","0.585","684.05","506.705","74.074","47.642","6.965","129.702","18.961"
"Light Truck Drivers","0.608","711.42","378.121","53.15","161.294","22.672","172.005","24.178"
"Billing and Posting Clerks","0.478","559.39","458.62","81.986","30.359","5.427","70.411","12.587"
"Construction Laborers","0.757","886.26","256.983","28.996","227.97","25.723","401.307","45.281"
"Miscellaneous Assemblers and Fabricators","0.648","758.26","393.403","51.882","69.297","9.139","295.56","38.979"
"Tellers","0.423","494.68","415.402","83.974","36.573","7.393","42.705","8.633"
"General and Operations Managers","0.916","1071.25","82.455","7.697","356.216","33.252","632.579","59.051"
"Licensed Practical and Licensed Vocational Nurses","0.847","991.28","183.964","18.558","244.388","24.654","562.928","56.788"
"Project Management Specialists and Business Operations Specialists, All Other","0.496","580.06","242.184","41.752","152.085","26.219","185.791","32.03"
"First-Line Supervisors of Food Preparation and Serving Workers","0.692","809.97","225.784","27.876","162.112","20.015","422.073","52.11"
"Food Preparation Workers","0.395","461.73","373.189","80.824","0","0","88.541","19.176"
"Dental Assistants","0.788","921.77","212.795","23.085","150.246","16.3","558.729","60.615"
"Cooks, Institution and Cafeteria","0.56","654.99","266.726","40.722","83.926","12.813","304.338","46.464"
"Welders, Cutters, Solderers, and Brazers","0.387","452.51","308.687","68.217","32.425","7.166","111.398","24.618"
"Security Guards","0.611","714.38","160.55","22.474","173.041","24.223","380.789","53.303"
"Maintenance and Repair Workers, General","0.489","572.73","185.422","32.375","123.406","21.547","263.902","46.078"
"Education Administrators, Kindergarten through Secondary","0.592","692.43","12.226","1.766","294.468","42.527","385.736","55.708"
"Tutors and Teachers and Instructors, All Other","0.383","448.11","26.898","6.003","275.734","61.533","145.478","32.465"
"First-Line Supervisors of Retail Sales Workers","0.424","496.55","183.483","36.952","118.201","23.804","194.866","39.244"
"Machinists","0.397","464.26","246.118","53.013","54.216","11.678","163.926","35.309"
"Executive Secretaries and Executive Administrative Assistants","0.344","402.93","253.46","62.904","44.194","10.968","105.276","26.128"
"Educational, Guidance, and Career Counselors and Advisors","0.489","571.66","40.868","7.149","255.628","44.717","275.164","48.134"
"Production, Planning, and Expediting Clerks","0.341","398.56","276.604","69.401","18.275","4.585","103.68","26.014"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.308","360.24","249.93","69.379","37.179","10.321","73.13","20.3"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.358","418.34","284.181","67.931","1.136","0.271","133.023","31.798"
"Accountants and Auditors","0.309","361.48","135.241","37.413","146.445","40.513","79.794","22.074"
"Insurance Claims and Policy Processing Clerks","0.294","344.44","240.267","69.756","34.178","9.923","69.995","20.321"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.342","400.68","138.704","34.617","131.98","32.939","129.996","32.444"
"Paralegals and Legal Assistants","0.345","403.12","211.061","52.357","52.582","13.044","139.477","34.599"
"First-Line Supervisors of Production and Operating Workers","0.468","547.19","96.771","17.685","158.073","28.888","292.346","53.427"
"Bill and Account Collectors","0.271","316.77","208.54","65.833","33.807","10.672","74.422","23.494"
"Industrial Machinery Mechanics","0.386","451.11","210.666","46.699","29.647","6.572","210.797","46.729"
"Health Specialties Teachers, Postsecondary","0.355","415.2","23.187","5.585","215.154","51.819","176.859","42.596"
"Bartenders","0.265","309.94","202.67","65.39","25.099","8.098","82.171","26.512"
"Instructional Coordinators","0.32","374.5","0","0","219.078","58.499","155.422","41.501"
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","0.251","293.91","215.919","73.464","0","0","77.991","26.536"
"Cooks, Fast Food","0.241","281.93","199.123","70.629","15.414","5.467","67.393","23.904"
"Pharmacy Technicians","0.232","271.11","210.695","77.716","0","0","60.415","22.284"
"Reservation and Transportation Ticket Agents and Travel Clerks","0.225","263.11","187.619","71.308","18.963","7.207","56.529","21.485"
"Dishwashers","0.236","275.57","205.63","74.62","0","0","69.94","25.38"
"Loan Interviewers and Clerks","0.215","251.24","201.052","80.024","0","0","50.188","19.976"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.332","388.85","136.295","35.051","61.139","15.723","191.416","49.226"
"Clinical Laboratory Technologists and Technicians","0.334","390.96","139.049","35.566","58.221","14.892","193.69","49.542"
"Packaging and Filling Machine Operators and Tenders","0.215","251.22","193.321","76.953","0","0","57.899","23.047"
"Food Servers, Nonrestaurant","0.229","268.34","164.166","61.178","24.137","8.995","80.037","29.827"
"Dispatchers, Except Police, Fire, and Ambulance","0.225","263.45","184.206","69.92","3.963","1.504","75.282","28.575"
"Software Developers and Software Quality Assurance Analysts and Testers","0.34","397.6","10.972","2.76","175.498","44.139","211.13","53.101"
"Computer User Support Specialists","0.29","339.39","105.919","31.209","77.525","22.842","155.946","45.949"
"Data Entry Keyers","0.173","202.53","182.929","90.322","0","0","19.601","9.678"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.314","366.97","123.977","33.784","58.879","16.045","184.114","50.171"
"Packers and Packagers, Hand","0.186","217.96","179.828","82.505","0","0","38.132","17.495"
"Financial Managers","0.239","280.06","98.313","35.104","77.587","27.704","104.159","37.192"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","0.165","192.48","41.351","21.483","117.561","61.077","33.568","17.44"
"Human Resources Specialists","0.179","209.95","55.688","26.525","99.555","47.419","54.707","26.057"
"Career/Technical Education Teachers, Secondary School","0.242","283.05","12.532","4.427","140.919","49.786","129.599","45.787"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","0.21","245.98","99.184","40.322","52.835","21.479","93.962","38.199"
"Teaching Assistants, Postsecondary","0.191","224.04","38.612","17.234","113.034","50.453","72.394","32.313"
