"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","3.212","145795.33","101270.074","69.46","15095.507","10.354","29429.749","20.186"
"Retail Salespersons","3.138","142460.23","84141.171","59.063","30872.066","21.671","27446.993","19.266"
"Customer Service Representatives","2.693","122260.01","81173.28","66.394","22781.696","18.634","18305.034","14.972"
"Office Clerks, General","2.792","126759.08","72767.819","57.406","26435.273","20.855","27555.988","21.739"
"Cashiers","2.356","106964.99","83380.503","77.951","7577.785","7.084","16006.702","14.964"
"Heavy and Tractor-Trailer Truck Drivers","2.408","109316.82","54887.279","50.209","22193.031","20.302","32236.51","29.489"
"Laborers and Freight, Stock, and Material Movers, Hand","2.076","94264.25","54698.865","58.027","15687.303","16.642","23878.082","25.331"
"Stockers and Order Fillers","1.71","77627.81","59471.533","76.611","2817.073","3.629","15339.205","19.76"
"Waiters and Waitresses","1.662","75431.27","33474.931","44.378","26529.167","35.17","15427.172","20.452"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.402","63648.22","43366.88","68.135","5829.312","9.159","14452.028","22.706"
"Bookkeeping, Accounting, and Auditing Clerks","1.181","53601.82","47062.613","87.8","477.317","0.89","6061.89","11.309"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.316","59749.66","21959.335","36.752","21704.734","36.326","16085.591","26.922"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1.294","58759.97","20355.08","34.641","19438.951","33.082","18965.939","32.277"
"General and Operations Managers","2.101","95357.4","7317.887","7.674","31642.935","33.184","56396.578","59.142"
"Registered Nurses","1.583","71881.44","17257.947","24.009","19124.537","26.606","35498.956","49.385"
"Elementary School Teachers, Except Special Education","1.578","71659.01","1687.154","2.354","33847.543","47.234","36124.313","50.411"
"Accountants and Auditors","0.972","44112.14","16520.046","37.45","17994.563","40.793","9597.532","21.757"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","1.102","50016.46","17130.095","34.249","16145.725","32.281","16740.64","33.47"
"Secondary School Teachers, Except Special and Career/Technical Education","1.282","58184.57","2990.346","5.139","28385.194","48.785","26809.031","46.076"
"Project Management Specialists and Business Operations Specialists, All Other","0.985","44735.93","18962.397","42.387","12070.955","26.983","13702.578","30.63"
"Light Truck Drivers","0.79","35853.38","19363.913","54.009","8303.791","23.16","8185.676","22.831"
"First-Line Supervisors of Office and Administrative Support Workers","1.03","46754.61","7307.584","15.63","19420.162","41.536","20026.864","42.834"
"Cooks, Restaurant","0.88","39934.85","11711.785","29.327","14558.094","36.455","13664.972","34.218"
"Substitute Teachers, Short-Term","0.959","43543.74","6317.598","14.509","19694.361","45.229","17531.781","40.262"
"Industrial Truck and Tractor Operators","0.788","35795.2","18127.955","50.644","7031.434","19.644","10635.811","29.713"
