"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","4.782","1407","977.604","69.481","145.771","10.36","283.625","20.158"
"Retail Salespersons","4.397","1293.76","765.891","59.199","280.85","21.708","247.02","19.093"
"Home Health and Personal Care Aides","12.231","3598.97","386.88","10.75","607.597","16.883","2604.492","72.368"
"Customer Service Representatives","3.507","1031.97","686.723","66.545","193.377","18.739","151.87","14.717"
"Medical Secretaries and Administrative Assistants","2.938","864.44","695.862","80.499","17.797","2.059","150.781","17.443"
"Cashiers","2.792","821.68","644.814","78.475","58.396","7.107","118.47","14.418"
"Registered Nurses","4.729","1391.47","333.141","23.942","366.561","26.343","691.768","49.715"
"Office Clerks, General","2.584","760.32","440.647","57.955","160.693","21.135","158.98","20.91"
"Waiters and Waitresses","2.552","750.82","332.672","44.308","263.687","35.12","154.461","20.572"
"Stockers and Order Fillers","1.785","525.24","407.287","77.543","19.399","3.693","98.554","18.764"
"Medical Assistants","2.449","720.52","245.331","34.049","157.001","21.79","318.188","44.161"
"Laborers and Freight, Stock, and Material Movers, Hand","1.577","464.01","280.462","60.443","82.405","17.759","101.143","21.798"
"Landscaping and Groundskeeping Workers","1.466","431.48","121.402","28.136","200.74","46.524","109.338","25.34"
"Nursing Assistants","3.055","899","179.412","19.957","126.24","14.042","593.347","66.001"
"Receptionists and Information Clerks","1.235","363.32","266.527","73.359","27.345","7.526","69.447","19.115"
"Cooks, Restaurant","1.387","408.27","119.634","29.303","148.654","36.411","139.983","34.287"
"Licensed Practical and Licensed Vocational Nurses","2.008","590.72","110.002","18.622","146.026","24.72","334.692","56.658"
"Childcare Workers","1.635","481.24","65.199","13.548","176.612","36.699","239.429","49.752"
"Bookkeeping, Accounting, and Auditing Clerks","0.919","270.41","239.011","88.388","2.425","0.897","28.974","10.715"
"Billing and Posting Clerks","0.873","256.92","210.011","81.742","13.87","5.399","33.038","12.859"
"Maids and Housekeeping Cleaners","1.056","310.79","109.224","35.144","108.41","34.882","93.157","29.974"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.898","264.23","182.454","69.051","24.64","9.325","57.136","21.624"
"First-Line Supervisors of Retail Sales Workers","1.145","336.9","124.682","37.009","80.34","23.847","131.879","39.145"
"Food Preparation Workers","0.841","247.54","201.264","81.306","0","0","46.276","18.694"
"First-Line Supervisors of Office and Administrative Support Workers","1.062","312.62","48.839","15.622","129.274","41.352","134.508","43.026"
"Construction Laborers","0.97","285.52","88.171","30.881","80.136","28.067","117.213","41.052"
