"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","5.042","5238.95","3635.435","69.392","540.973","10.326","1062.542","20.282"
"Customer Service Representatives","3.231","3357.39","2230.516","66.436","626.621","18.664","500.253","14.9"
"Retail Salespersons","3.256","3383.13","2002.665","59.196","734.378","21.707","646.087","19.097"
"Home Health and Personal Care Aides","9.177","9535.64","1025.518","10.755","1610.492","16.889","6899.63","72.356"
"Waiters and Waitresses","2.879","2991.15","1325.446","44.312","1050.581","35.123","615.123","20.565"
"Registered Nurses","4.161","4323.61","1035.344","23.946","1139.765","26.361","2148.502","49.692"
"Office Clerks, General","2.384","2476.86","1432.678","57.843","522.136","21.081","522.046","21.077"
"Cashiers","2.057","2137.4","1676.378","78.431","151.862","7.105","309.16","14.464"
"Medical Secretaries and Administrative Assistants","1.912","1987.01","1599.33","80.489","40.888","2.058","346.791","17.453"
"Stockers and Order Fillers","1.777","1846.18","1426.8","77.284","67.853","3.675","351.527","19.041"
"Heavy and Tractor-Trailer Truck Drivers","1.489","1547.02","799.079","51.653","324.791","20.995","423.15","27.353"
"Medical Assistants","1.853","1925.24","656.12","34.08","419.968","21.814","849.153","44.106"
"Cooks, Restaurant","1.531","1591.15","466.091","29.293","579.072","36.393","545.988","34.314"
"Bookkeeping, Accounting, and Auditing Clerks","1.09","1132.67","1001.405","88.411","10.161","0.897","121.104","10.692"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.172","1217.53","453.179","37.221","450.173","36.974","314.178","25.805"
"Laborers and Freight, Stock, and Material Movers, Hand","1.054","1094.74","639.477","58.414","183.995","16.807","271.269","24.779"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1.148","1192.86","416.389","34.907","400.5","33.575","375.971","31.518"
"Nursing Assistants","2.305","2394.84","478.648","19.987","336.746","14.061","1579.446","65.952"
"Maids and Housekeeping Cleaners","1.104","1147.1","408.52","35.613","405.921","35.387","332.659","29"
"Receptionists and Information Clerks","0.907","942.58","691.607","73.374","71.016","7.534","179.957","19.092"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.877","910.96","627.212","68.852","84.608","9.288","199.14","21.86"
"Childcare Workers","1.289","1339.1","181.475","13.552","491.984","36.74","665.641","49.708"
"First-Line Supervisors of Office and Administrative Support Workers","1.119","1162.7","181.957","15.65","483.635","41.596","497.108","42.755"
"Licensed Practical and Licensed Vocational Nurses","1.438","1493.91","277.184","18.554","368.242","24.65","848.484","56.796"
"Billing and Posting Clerks","0.696","722.77","592.122","81.924","39.166","5.419","91.482","12.657"
"First-Line Supervisors of Food Preparation and Serving Workers","1.149","1193.82","332.72","27.87","238.793","20.002","622.306","52.127"
"Food Preparation Workers","0.677","703.8","568.196","80.733","0","0","135.604","19.267"
"First-Line Supervisors of Retail Sales Workers","0.853","886.08","327.668","36.98","211.11","23.825","347.302","39.195"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.719","746.76","259.877","34.801","249.035","33.349","237.848","31.851"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.602","625.22","433.629","69.356","64.472","10.312","127.119","20.332"
"General and Operations Managers","1.1","1142.64","88.225","7.721","382.645","33.488","671.769","58.791"
"Light Truck Drivers","0.57","592.26","325.785","55.007","140.724","23.761","125.75","21.232"
"Shipping, Receiving, and Inventory Clerks","0.527","547.55","407.44","74.411","38.482","7.028","101.628","18.561"
"Bartenders","0.539","559.83","365.545","65.296","45.109","8.058","149.176","26.647"
"Industrial Truck and Tractor Operators","0.546","567.11","294.655","51.957","113.909","20.086","158.546","27.957"
"Cooks, Fast Food","0.507","526.74","371.973","70.618","28.797","5.467","125.97","23.915"
"Tellers","0.421","436.98","366.949","83.974","32.307","7.393","37.724","8.633"
"Security Guards","0.789","820.06","185.044","22.565","204.16","24.896","430.856","52.54"
"Pharmacy Technicians","0.471","489.33","382.202","78.107","0","0","107.128","21.893"
"Dental Assistants","0.91","945.94","218.507","23.099","154.268","16.308","573.165","60.592"
"Dishwashers","0.463","481.09","358.635","74.546","0","0","122.455","25.454"
"Maintenance and Repair Workers, General","0.654","680.09","209.757","30.843","131.159","19.286","339.173","49.872"
"Landscaping and Groundskeeping Workers","0.435","451.63","123.727","27.396","201.111","44.53","126.792","28.074"
"Miscellaneous Assemblers and Fabricators","0.504","523.65","271.001","51.752","47.834","9.135","204.815","39.113"
"Clinical Laboratory Technologists and Technicians","0.559","580.73","206.366","35.536","86.441","14.885","287.923","49.579"
"Driver/Sales Workers","0.33","343.11","197.295","57.502","85.568","24.939","60.247","17.559"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.442","459.16","237.593","51.745","39.988","8.709","181.579","39.546"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.522","542.93","183.195","33.742","86.857","15.998","272.878","50.26"
"Cooks, Institution and Cafeteria","0.468","486.43","198.2","40.746","62.39","12.826","225.84","46.428"
"Insurance Claims and Policy Processing Clerks","0.313","324.88","225.869","69.524","32.06","9.868","66.951","20.608"
"Bill and Account Collectors","0.324","337.15","221.55","65.713","35.771","10.61","79.829","23.678"
"Welders, Cutters, Solderers, and Brazers","0.312","324.66","221.689","68.283","23.383","7.202","79.588","24.514"
"Food Servers, Nonrestaurant","0.328","341.2","208.75","61.181","30.694","8.996","101.756","29.823"
"Accountants and Auditors","0.284","294.82","110.325","37.421","119.684","40.596","64.811","21.983"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.419","435.13","157.054","36.094","71.477","16.427","206.599","47.48"
