"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","9.904","5531.85","3839.729","69.411","571.621","10.333","1120.5","20.255"
"Retail Salespersons","8.645","4828.7","2859.539","59.22","1048.492","21.714","920.669","19.067"
"Cashiers","5.57","3111.03","2440.106","78.434","221.042","7.105","449.882","14.461"
"Waiters and Waitresses","5.464","3051.71","1352.003","44.303","1071.654","35.117","628.053","20.58"
"Cooks, Restaurant","2.977","1662.97","487.124","29.292","605.202","36.393","570.644","34.315"
"Registered Nurses","3.887","2170.91","519.679","23.938","571.607","26.33","1079.624","49.731"
"Home Health and Personal Care Aides","6.132","3424.73","368.148","10.75","578.179","16.882","2478.402","72.368"
"First-Line Supervisors of Retail Sales Workers","2.258","1261.02","466.747","37.013","300.758","23.85","493.515","39.136"
"Stockers and Order Fillers","1.559","870.54","672.778","77.283","31.995","3.675","165.766","19.042"
"Medical Secretaries and Administrative Assistants","1.465","818.29","658.181","80.434","16.788","2.052","143.321","17.515"
"Office Clerks, General","1.483","828.36","473.971","57.218","171.839","20.745","182.55","22.037"
"Customer Service Representatives","1.293","722.14","477.34","66.101","132.466","18.343","112.334","15.556"
"Food Preparation Workers","1.307","730","591.44","81.019","0","0","138.56","18.981"
"First-Line Supervisors of Food Preparation and Serving Workers","2.139","1194.68","332.889","27.864","238.806","19.989","622.986","52.147"
"Maids and Housekeeping Cleaners","1.349","753.71","265.407","35.213","263.47","34.956","224.833","29.83"
"Dining Room and Cafeteria Attendants and Bartender Helpers","1.109","619.64","429.526","69.319","63.807","10.297","126.306","20.384"
"Cooks, Fast Food","1.001","559.05","394.89","70.636","30.566","5.467","133.594","23.897"
"Bartenders","1.006","561.79","366.745","65.282","45.232","8.051","149.812","26.667"
"Medical Assistants","1.265","706.73","241.304","34.144","154.515","21.863","310.911","43.993"
"Licensed Practical and Licensed Vocational Nurses","1.614","901.45","167.223","18.55","222.168","24.646","512.059","56.804"
"Receptionists and Information Clerks","0.823","459.84","336.135","73.098","34.335","7.467","89.37","19.435"
"Construction Laborers","1.279","714.23","195.479","27.369","169.376","23.715","349.375","48.916"
