"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Home Health and Personal Care Aides","15.708","5992.63","644.387","10.753","1011.975","16.887","4336.268","72.36"
"Fast Food and Counter Workers","4.211","1606.4","1115.387","69.434","166.135","10.342","324.878","20.224"
"Retail Salespersons","3.748","1429.99","846.423","59.191","310.388","21.706","273.179","19.104"
"Registered Nurses","5.67","2162.99","517.774","23.938","569.487","26.329","1075.729","49.733"
"Customer Service Representatives","2.425","924.99","613.922","66.371","172.012","18.596","139.056","15.033"
"Cashiers","2.366","902.71","708.241","78.457","64.147","7.106","130.321","14.437"
"Medical Secretaries and Administrative Assistants","2.374","905.64","728.888","80.483","18.63","2.057","158.122","17.46"
"Waiters and Waitresses","2.278","868.92","385.063","44.315","305.208","35.125","178.649","20.56"
"Medical Assistants","3.146","1200.27","408.732","34.053","261.576","21.793","529.962","44.154"
"Stockers and Order Fillers","1.888","720.14","558.924","77.613","26.632","3.698","134.584","18.689"
"Office Clerks, General","1.878","716.32","415.147","57.955","151.379","21.133","149.795","20.912"
"Nursing Assistants","3.938","1502.37","300.126","19.977","211.159","14.055","991.085","65.968"
"Childcare Workers","2.108","804.24","108.981","13.551","295.38","36.728","399.879","49.721"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.381","526.7","195.599","37.137","193.981","36.829","137.121","26.034"
"Maids and Housekeeping Cleaners","1.314","501.39","178.291","35.559","177.134","35.329","145.964","29.112"
"Cooks, Restaurant","1.228","468.35","137.22","29.299","170.497","36.404","160.633","34.298"
"Receptionists and Information Clerks","0.985","375.69","275.536","73.341","28.257","7.521","71.897","19.137"
"Licensed Practical and Licensed Vocational Nurses","1.783","680.19","126.848","18.649","168.336","24.748","385.006","56.603"
"Bookkeeping, Accounting, and Auditing Clerks","0.703","268.16","237.2","88.455","2.407","0.898","28.553","10.648"
"Dental Assistants","1.553","592.42","136.748","23.083","96.554","16.298","359.119","60.619"
"First-Line Supervisors of Retail Sales Workers","0.976","372.23","137.694","36.992","88.718","23.834","145.818","39.174"
"Billing and Posting Clerks","0.673","256.92","209.516","81.549","13.82","5.379","33.584","13.072"
"Food Preparation Workers","0.698","266.45","215.654","80.936","0","0","50.796","19.064"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.639","243.76","167.973","68.909","22.669","9.3","53.118","21.791"
"First-Line Supervisors of Food Preparation and Serving Workers","0.993","378.88","105.641","27.883","75.889","20.03","197.349","52.088"
"Pharmacy Technicians","0.598","228.23","178.52","78.219","0","0","49.71","21.781"
"First-Line Supervisors of Office and Administrative Support Workers","0.79","301.41","46.966","15.582","123.967","41.129","130.477","43.289"
"Laborers and Freight, Stock, and Material Movers, Hand","0.617","235.39","129.846","55.162","36.235","15.394","69.309","29.444"
"Security Guards","0.87","331.72","74.906","22.581","82.995","25.02","173.818","52.399"
"Cooks, Institution and Cafeteria","0.74","282.36","115.013","40.733","36.196","12.819","131.151","46.448"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.492","187.68","130.16","69.352","19.35","10.31","38.17","20.338"
"Clinical Laboratory Technologists and Technicians","0.677","258.37","91.954","35.59","38.49","14.897","127.927","49.513"
"Shipping, Receiving, and Inventory Clerks","0.413","157.6","117.545","74.584","11.127","7.06","28.928","18.355"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.665","253.6","85.956","33.894","41.002","16.168","126.642","49.938"
"Cooks, Fast Food","0.413","157.72","111.418","70.643","8.624","5.468","37.679","23.89"
"Food Servers, Nonrestaurant","0.432","164.9","100.875","61.173","14.83","8.993","49.195","29.833"
"Dishwashers","0.403","153.73","114.654","74.581","0","0","39.076","25.419"
"Bartenders","0.402","153.49","100.224","65.297","12.368","8.058","40.898","26.646"
"General and Operations Managers","0.72","274.85","21.083","7.671","90.706","33.002","163.061","59.327"
"Electrical Power-Line Installers and Repairers","0.646","246.5","24.222","9.826","80.692","32.735","141.586","57.438"
"Maintenance and Repair Workers, General","0.534","203.62","62.049","30.473","38.585","18.95","102.986","50.577"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","0.57","217.55","24.993","11.489","63.443","29.162","129.114","59.349"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.356","135.92","70.34","51.751","11.839","8.71","53.741","39.539"
"Industrial Machinery Mechanics","0.479","182.87","71.572","39.138","9.946","5.439","101.352","55.423"
"Bill and Account Collectors","0.258","98.54","64.559","65.515","10.356","10.509","23.626","23.976"
"Social and Human Service Assistants","0.351","133.82","28.986","21.66","43.317","32.37","61.517","45.97"
"Preschool Teachers, Except Special Education","0.683","260.67","11.928","4.576","60.08","23.048","188.662","72.376"
"Emergency Medical Technicians and Paramedics","0.433","165.35","19.581","11.842","49.704","30.06","96.066","58.098"
"Phlebotomists","0.466","177.95","60.824","34.18","8.347","4.69","108.78","61.129"
"Radiologic Technologists and Technicians","0.443","168.86","27.815","16.472","38.945","23.063","102.101","60.465"
"Machinists","0.268","102.35","54.308","53.061","11.95","11.676","36.091","35.263"
"Project Management Specialists and Business Operations Specialists, All Other","0.265","101.03","40.77","40.354","24.983","24.728","35.277","34.917"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.344","131.2","29.1","22.18","36.593","27.891","65.508","49.93"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.247","94.23","32.565","34.559","30.918","32.811","30.747","32.63"
"Pharmacists","0.274","104.41","43.688","41.842","18.851","18.055","41.871","40.103"
"Nurse Practitioners","0.349","132.99","25.944","19.509","34.924","26.261","72.122","54.231"
"Physical Therapists","0.417","159.2","14.123","8.871","43.56","27.362","101.517","63.767"
