"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","3.746","39484.46","23339.947","59.112","8561.872","21.684","7582.641","19.204"
"Fast Food and Counter Workers","3.788","39929.02","27753.032","69.506","4141.015","10.371","8034.974","20.123"
"Cashiers","2.675","28197.37","22028.624","78.123","1999.684","7.092","4169.062","14.785"
"Office Clerks, General","2.618","27596.45","15842.242","57.407","5755.253","20.855","5998.955","21.738"
"Customer Service Representatives","2.125","22404.85","14886.26","66.442","4183.941","18.674","3334.649","14.884"
"Waiters and Waitresses","1.818","19166.91","8504.47","44.371","6739.97","35.165","3922.47","20.465"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.745","18393.16","6723.827","36.556","6619.485","35.989","5049.847","27.455"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.396","14713.45","10035.772","68.208","1349.512","9.172","3328.166","22.62"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","1.582","16676.06","5759.969","34.54","5481.971","32.873","5434.12","32.586"
"Registered Nurses","1.934","20390.54","4890.423","23.984","5405.06","26.508","10095.057","49.509"
"Bookkeeping, Accounting, and Auditing Clerks","1.078","11361.55","9976.387","87.808","101.183","0.891","1283.981","11.301"
"Accountants and Auditors","1.172","12355.19","4663.004","37.741","5117.931","41.423","2574.255","20.835"
"Stockers and Order Fillers","1.1","11590.49","8922.314","76.98","423.407","3.653","2244.769","19.367"
"Home Health and Personal Care Aides","2.956","31158.81","3354.358","10.765","5267.095","16.904","22537.356","72.331"
"Heavy and Tractor-Trailer Truck Drivers","1.151","12128.42","5936.399","48.946","2385.676","19.67","3806.345","31.384"
"Project Management Specialists and Business Operations Specialists, All Other","1.097","11564.1","4951.281","42.816","3175.405","27.459","3437.414","29.725"
"Elementary School Teachers, Except Special Education","1.526","16089.33","378.81","2.354","7599.663","47.234","8110.857","50.411"
"General and Operations Managers","1.843","19423.92","1488.145","7.661","6427.281","33.09","11508.495","59.249"
"Software Developers and Software Quality Assurance Analysts and Testers","1.545","16284.05","452.786","2.781","7385.742","45.356","8445.522","51.864"
