"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","3.966","6191.72","4299.654","69.442","640.543","10.345","1251.523","20.213"
"Retail Salespersons","3.828","5976","3538.517","59.212","1297.487","21.712","1139.995","19.076"
"Home Health and Personal Care Aides","9.249","14439.42","1552.607","10.753","2438.299","16.886","10448.514","72.361"
"Registered Nurses","4.8","7493.62","1794.038","23.941","1973.845","26.34","3725.737","49.719"
"Cashiers","2.421","3779.73","2965.482","78.458","268.592","7.106","545.656","14.436"
"Waiters and Waitresses","2.157","3366.93","1492.199","44.319","1182.735","35.128","691.997","20.553"
"Medical Secretaries and Administrative Assistants","2.04","3183.9","2561.676","80.457","65.404","2.054","556.82","17.489"
"Driver/Sales Workers","2.103","3282.72","1801.404","54.875","776.087","23.642","705.229","21.483"
"Customer Service Representatives","1.934","3019.5","2000.852","66.264","558.835","18.508","459.813","15.228"
"Office Clerks, General","1.798","2806.87","1618.835","57.674","589.084","20.987","598.95","21.339"
"Stockers and Order Fillers","1.685","2629.73","2037.734","77.488","97.017","3.689","494.979","18.822"
"Medical Assistants","1.893","2955.75","1008.541","34.121","645.712","21.846","1301.497","44.033"
"Laborers and Freight, Stock, and Material Movers, Hand","1.214","1895.47","1131.361","59.688","329.699","17.394","434.41","22.918"
"Licensed Practical and Licensed Vocational Nurses","2.008","3135.02","582.124","18.568","773.233","24.664","1779.664","56.767"
"Nursing Assistants","2.318","3618.25","722.717","19.974","508.486","14.053","2387.047","65.972"
"Heavy and Tractor-Trailer Truck Drivers","1.111","1733.86","865.661","49.927","349.348","20.149","518.851","29.925"
"Cooks, Restaurant","1.166","1821.01","533.559","29.3","662.962","36.406","624.489","34.294"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","0.995","1553.06","579.518","37.315","576.323","37.109","397.219","25.577"
"Receptionists and Information Clerks","0.864","1349.39","988.831","73.28","101.327","7.509","259.232","19.211"
"Maids and Housekeeping Cleaners","0.958","1495.92","532.699","35.61","529.306","35.383","433.915","29.007"
"Bookkeeping, Accounting, and Auditing Clerks","0.712","1110.83","978.457","88.083","9.926","0.894","122.447","11.023"
"Childcare Workers","1.241","1936.93","262.464","13.55","711.319","36.724","963.148","49.725"
"First-Line Supervisors of Retail Sales Workers","1.002","1564.77","579.089","37.008","373.139","23.846","612.542","39.146"
"Billing and Posting Clerks","0.591","922.27","751.641","81.499","49.565","5.374","121.064","13.127"
"Food Preparation Workers","0.614","958.43","776.76","81.045","0","0","181.67","18.955"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.626","977.75","668.793","68.401","90.024","9.207","218.933","22.392"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.679","1059.5","369.765","34.9","355.542","33.558","334.193","31.543"
"Bakers","0.573","894.26","695.654","77.791","4.562","0.51","194.044","21.699"
"Pharmacy Technicians","0.572","892.96","694.84","77.813","0","0","198.12","22.187"
"First-Line Supervisors of Office and Administrative Support Workers","0.768","1198.67","186.753","15.58","493.215","41.147","518.702","43.273"
"First-Line Supervisors of Food Preparation and Serving Workers","0.907","1416.47","395.09","27.893","284.036","20.052","737.344","52.055"
"Roustabouts, Oil and Gas","0.552","861.79","509.582","59.131","106.417","12.348","245.791","28.521"
"Clinical Laboratory Technologists and Technicians","0.779","1216.52","432.513","35.553","181.127","14.889","602.881","49.558"
"General and Operations Managers","0.954","1489.94","114.479","7.683","493.875","33.147","881.586","59.169"
"Light Truck Drivers","0.502","782.93","424.029","54.159","182.092","23.258","176.809","22.583"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.463","723.03","501.899","69.416","74.726","10.335","146.405","20.249"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.733","1144.13","386.326","33.766","183.343","16.025","574.461","50.209"
"Dental Assistants","0.913","1425.95","329.087","23.078","232.364","16.295","864.5","60.626"
"Shipping, Receiving, and Inventory Clerks","0.424","662.41","493.671","74.526","46.702","7.05","122.037","18.423"
"Maintenance and Repair Workers, General","0.58","906.11","286.532","31.622","185.61","20.484","433.967","47.893"
"Miscellaneous Assemblers and Fabricators","0.493","769.03","397.401","51.676","70.204","9.129","301.425","39.195"
"Cooks, Fast Food","0.393","613.4","433.337","70.645","33.539","5.468","146.524","23.887"
"Bartenders","0.39","608.47","397.55","65.336","49.134","8.075","161.787","26.589"
"Welders, Cutters, Solderers, and Brazers","0.387","604.36","402.351","66.575","40.766","6.745","161.243","26.68"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.412","643.31","223.658","34.767","214.005","33.266","205.647","31.967"
"Dishwashers","0.361","564.17","420.783","74.584","0","0","143.387","25.416"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.396","618.16","413.881","66.954","1.676","0.271","202.604","32.775"
"Security Guards","0.558","870.44","196.519","22.577","217.505","24.988","456.416","52.435"
"Project Management Specialists and Business Operations Specialists, All Other","0.395","616.86","250.61","40.627","154.665","25.073","211.585","34.3"
"Accountants and Auditors","0.336","525.03","194.78","37.099","209.663","39.934","120.587","22.968"
"Laundry and Dry-Cleaning Workers","0.347","541.35","357.032","65.952","44.72","8.261","139.598","25.787"
"Service Unit Operators, Oil and Gas","0.48","749.29","242.045","32.303","140.321","18.727","366.924","48.97"
"Cooks, Institution and Cafeteria","0.455","709.85","289.134","40.732","90.992","12.818","329.724","46.45"
"Industrial Machinery Mechanics","0.472","737.38","319.5","43.329","44.493","6.034","373.388","50.637"
"Industrial Truck and Tractor Operators","0.324","506.47","262.105","51.751","101.177","19.977","143.187","28.272"
"Landscaping and Groundskeeping Workers","0.281","438.19","122.664","27.993","202.209","46.146","113.317","25.86"
"First-Line Supervisors of Construction Trades and Extraction Workers","0.551","860.82","48.875","5.678","271.701","31.563","540.244","62.759"
