"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","4.953","1353.61","801.478","59.21","293.884","21.711","258.248","19.078"
"Home Health and Personal Care Aides","14.138","3864.07","415.601","10.756","652.661","16.89","2795.808","72.354"
"Fast Food and Counter Workers","4.261","1164.55","809.346","69.499","120.729","10.367","234.475","20.134"
"Registered Nurses","5.693","1555.85","372.49","23.941","409.838","26.342","773.522","49.717"
"Cashiers","3.128","854.88","670.864","78.475","60.755","7.107","123.261","14.418"
"Customer Service Representatives","2.271","620.71","412.935","66.526","116.195","18.72","91.579","14.754"
"Stockers and Order Fillers","2.235","610.85","474.736","77.717","22.635","3.706","113.479","18.577"
"Waiters and Waitresses","2.269","620.15","274.884","44.325","217.873","35.132","127.393","20.542"
"Medical Secretaries and Administrative Assistants","2.039","557.16","448.408","80.481","11.46","2.057","97.292","17.462"
"Medical Assistants","2.84","776.23","264.422","34.065","169.235","21.802","342.572","44.133"
"Office Clerks, General","1.69","462.01","268.391","58.092","97.968","21.205","95.651","20.703"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.782","486.97","182.932","37.565","182.585","37.494","121.453","24.94"
"Laborers and Freight, Stock, and Material Movers, Hand","1.592","435.09","265.572","61.038","78.404","18.02","91.115","20.942"
"Nursing Assistants","3.555","971.48","194.222","19.992","136.638","14.065","640.62","65.943"
"Landscaping and Groundskeeping Workers","1.59","434.67","122.394","28.158","202.457","46.577","109.818","25.265"
"Childcare Workers","1.903","520.05","70.482","13.553","191.117","36.75","258.451","49.697"
"Maids and Housekeeping Cleaners","1.328","362.9","129.944","35.807","129.176","35.595","103.78","28.598"
"Cooks, Restaurant","1.227","335.45","98.318","29.309","122.179","36.422","114.953","34.268"
"First-Line Supervisors of Retail Sales Workers","1.29","352.69","130.524","37.008","84.104","23.846","138.062","39.145"
"Receptionists and Information Clerks","0.862","235.71","173.015","73.402","17.762","7.535","44.933","19.063"
"Licensed Practical and Licensed Vocational Nurses","1.566","427.95","79.56","18.591","105.652","24.688","242.737","56.721"
"Food Preparation Workers","0.781","213.53","173.537","81.271","0","0","39.993","18.729"
"Security Guards","1.208","330.04","74.837","22.675","84.885","25.72","170.318","51.605"
"Bookkeeping, Accounting, and Auditing Clerks","0.634","173.17","153.517","88.651","1.558","0.9","18.095","10.449"
"Dental Assistants","1.405","384.12","88.768","23.109","62.668","16.315","232.685","60.576"
"Billing and Posting Clerks","0.57","155.79","127.151","81.617","8.39","5.386","20.249","12.998"
"First-Line Supervisors of Food Preparation and Serving Workers","0.998","272.67","76.102","27.91","54.782","20.091","141.786","51.999"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.551","150.48","104.149","69.211","14.077","9.355","32.254","21.434"
"First-Line Supervisors of Office and Administrative Support Workers","0.69","188.64","29.455","15.615","77.878","41.284","81.306","43.101"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.488","133.5","92.613","69.373","13.775","10.318","27.112","20.309"
"Pharmacy Technicians","0.493","134.85","105.254","78.053","0","0","29.596","21.947"
"Shipping, Receiving, and Inventory Clerks","0.444","121.45","90.778","74.745","8.611","7.09","22.061","18.165"
"Cooks, Institution and Cafeteria","0.677","184.95","75.385","40.759","23.735","12.833","85.83","46.407"
"Cooks, Fast Food","0.415","113.42","80.162","70.677","6.202","5.468","27.056","23.855"
"General and Operations Managers","0.745","203.62","15.782","7.75","68.525","33.654","119.313","58.596"
"Clinical Laboratory Technologists and Technicians","0.603","164.73","58.565","35.552","24.526","14.889","81.639","49.559"
"Dishwashers","0.401","109.56","81.8","74.662","0","0","27.76","25.338"
"Bartenders","0.401","109.66","71.613","65.305","8.84","8.061","29.207","26.634"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.572","156.26","52.797","33.788","25.078","16.049","78.385","50.164"
"Food Servers, Nonrestaurant","0.398","108.89","66.614","61.175","9.793","8.994","32.483","29.831"
