"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Nursing Assistants","0.689","86044.56","17257.077","20.056","12137.234","14.106","56650.248","65.838"
"Network and Computer Systems Administrators","0.286","35769.02","5351.458","14.961","23585.382","65.938","6832.18","19.101"
"Securities, Commodities, and Financial Services Sales Agents","0.317","39626.16","12430.332","31.369","16157.468","40.775","11038.36","27.856"
"Executive Secretaries and Executive Administrative Assistants","0.305","38113.9","23960.913","62.867","4174.416","10.952","9978.571","26.181"
"Childcare Workers","0.444","55448.64","7518.546","13.559","20414.43","36.817","27515.663","49.624"
"Buyers and Purchasing Agents","0.298","37231.83","15100.906","40.559","12630.132","33.923","9500.792","25.518"
"First-Line Supervisors of Construction Trades and Extraction Workers","0.627","78236.17","4314.625","5.515","22884.05","29.25","51037.495","65.235"
"Production, Planning, and Expediting Clerks","0.291","36283.29","25029.386","68.983","1657.562","4.568","9596.342","26.448"
"Dishwashers","0.282","35156.97","26246.064","74.654","0","0","8910.906","25.346"
"Packers and Packagers, Hand","0.243","30288.69","25261.096","83.401","0","0","5027.594","16.599"
"Helpers--Production Workers","0.264","32909.11","24351.691","73.997","888.47","2.7","7668.949","23.303"
"Automotive Service Technicians and Mechanics","0.431","53818.73","15224.736","28.289","9754.127","18.124","28839.867","53.587"
"Market Research Analysts and Marketing Specialists","0.284","35484.84","0","0","24754.054","69.76","10730.786","30.24"
"First-Line Supervisors of Production and Operating Workers","0.424","53003.43","9329.627","17.602","15234.822","28.743","28438.981","53.655"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.36","45002.47","10717.257","23.815","13714.685","30.475","20570.528","45.71"
"Operating Engineers and Other Construction Equipment Operators","0.367","45782.66","13427.515","29.329","10982.376","23.988","21372.77","46.683"
"Electricians","0.542","67682.37","8126.202","12.006","16104.065","23.794","43452.102","64.2"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.373","46584.67","16609.498","35.654","7527.38","16.158","22447.792","48.187"
"Police and Sheriff's Patrol Officers","0.342","42761.2","13493.057","31.554","10606.341","24.804","18661.802","43.642"
"Cleaners of Vehicles and Equipment","0.302","37740.56","18515.656","49.06","5257.636","13.931","13967.268","37.009"
"Insurance Claims and Policy Processing Clerks","0.235","29378.4","20498.903","69.775","2916.468","9.927","5963.029","20.297"
"Computer Systems Analysts","0.424","52929.98","3894.82","7.358","18776.642","35.474","30258.518","57.167"
"Industrial Machinery Mechanics","0.356","44434.91","19607.866","44.127","2734.432","6.154","22092.613","49.719"
"Plumbers, Pipefitters, and Steamfitters","0.369","46062.17","6026.119","13.083","16261.161","35.303","23774.889","51.615"
"Insurance Sales Agents","0.269","33615.76","10495.745","31.223","11374.611","33.837","11745.404","34.94"
"Bill and Account Collectors","0.224","28004.66","18444.267","65.861","2992.526","10.686","6567.867","23.453"
"Management Analysts","0.306","38256.67","0","0","21148.913","55.282","17107.756","44.718"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.268","33408.92","17290.761","51.755","2910.403","8.711","13207.756","39.534"
"Parts Salespersons","0.197","24596.83","17625.508","71.658","2064.391","8.393","4906.931","19.949"
"Hotel, Motel, and Resort Desk Clerks","0.202","25238.58","19131.286","75.802","121.844","0.483","5985.45","23.715"
