"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","8.798","10376.68","6145.135","59.221","2253.196","21.714","1978.349","19.065"
"Fast Food and Counter Workers","6.672","7868.89","5464.157","69.44","813.988","10.344","1590.745","20.216"
"Cashiers","5.622","6630.84","5202.056","78.452","471.181","7.106","957.603","14.442"
"Waiters and Waitresses","3.638","4291.17","1901.49","44.312","1507.171","35.123","882.509","20.566"
"Customer Service Representatives","2.757","3252.18","2161.974","66.478","608.503","18.711","481.703","14.812"
"Home Health and Personal Care Aides","7.669","9045.03","972.752","10.755","1527.628","16.889","6544.65","72.356"
"Stockers and Order Fillers","2.584","3047.86","2367.211","77.668","112.811","3.701","567.838","18.631"
"Registered Nurses","3.802","4484.51","1073.677","23.942","1181.416","26.344","2229.417","49.714"
"Office Clerks, General","1.865","2199.39","1271.414","57.808","463.324","21.066","464.652","21.126"
"First-Line Supervisors of Retail Sales Workers","2.298","2710.76","1003.417","37.016","646.578","23.852","1060.764","39.132"
"Cooks, Restaurant","1.978","2333.26","683.601","29.298","849.371","36.403","800.287","34.299"
"Medical Secretaries and Administrative Assistants","1.298","1531.33","1232.963","80.516","31.557","2.061","266.81","17.423"
"Laborers and Freight, Stock, and Material Movers, Hand","1.131","1333.47","798.726","59.898","233.684","17.525","301.06","22.577"
"Medical Assistants","1.544","1820.49","620.243","34.07","396.979","21.806","803.267","44.124"
"Maids and Housekeeping Cleaners","1.146","1352.06","479.92","35.495","476.735","35.26","395.405","29.245"
"Food Preparation Workers","0.967","1140.95","925.756","81.139","0","0","215.193","18.861"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.004","1184.42","442.934","37.397","440.99","37.233","300.496","25.371"
"Bookkeeping, Accounting, and Auditing Clerks","0.79","931.22","822.483","88.323","8.345","0.896","100.392","10.781"
"First-Line Supervisors of Food Preparation and Serving Workers","1.464","1726.19","481.259","27.88","345.651","20.024","899.279","52.096"
"Licensed Practical and Licensed Vocational Nurses","1.518","1790.88","332.5","18.566","441.67","24.662","1016.71","56.772"
"Nursing Assistants","1.926","2271.53","453.998","19.986","319.404","14.061","1498.127","65.952"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.748","882.22","611.714","69.338","90.912","10.305","179.594","20.357"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.669","789.61","542.485","68.703","73.116","9.26","174.009","22.037"
"Childcare Workers","1.031","1216.07","164.804","13.552","446.802","36.742","604.464","49.706"
"Receptionists and Information Clerks","0.635","749.07","550.897","73.544","56.747","7.576","141.426","18.88"
"Cooks, Fast Food","0.668","788","556.707","70.648","43.086","5.468","188.207","23.884"
"Pharmacy Technicians","0.643","758.81","596.234","78.575","0","0","162.576","21.425"
"Bartenders","0.65","766.77","500.697","65.299","61.795","8.059","204.278","26.641"
"Shipping, Receiving, and Inventory Clerks","0.55","648.83","485.463","74.821","46.114","7.107","117.253","18.071"
"First-Line Supervisors of Office and Administrative Support Workers","0.769","906.72","141.824","15.641","377.14","41.594","387.756","42.765"
"Dishwashers","0.581","685.68","511.295","74.568","0","0","174.385","25.432"
