"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Veterinary Assistants and Laboratory Animal Caretakers","0.005","27.68","5.737","20.726","3.572","12.905","18.371","66.369"
"Camera Operators, Television, Video, and Film","0.005","27.67","1.562","5.644","7.744","27.986","18.365","66.37"
"Materials Engineers","0.005","27.67","0.757","2.736","7.926","28.645","18.987","68.619"
"Phlebotomists","0.004","20.78","7.097","34.151","0.974","4.685","12.71","61.163"
"Crematory Operators and Personal Care and Service Workers, All Other","0.004","20.78","3.507","16.879","4.157","20.007","13.115","63.114"
"Animal Trainers","0","0","0","0","0","0","0","0"
"Compensation and Benefits Managers","0","0","0","0","0","0","0","0"
"Cooks, All Other","0","0","0","0","0","0","0","0"
"Insurance Claims and Policy Processing Clerks","0","0","0","0","0","0","0","0"
"Insurance Underwriters","0","0","0","0","0","0","0","0"
"Orderlies","0","0","0","0","0","0","0","0"
"Packaging and Filling Machine Operators and Tenders","0","0","0","0","0","0","0","0"
