"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","3.57","127960.18","75641.022","59.113","27747.386","21.684","24571.772","19.203"
"Fast Food and Counter Workers","3.279","117515.82","81670.062","69.497","12183.628","10.368","23662.13","20.135"
"Cashiers","2.574","92266.03","72036.76","78.075","6541.369","7.09","13687.901","14.835"
"Office Clerks, General","2.522","90408.75","51728.646","57.216","18765.266","20.756","19914.838","22.028"
"Customer Service Representatives","1.946","69755.94","46214.31","66.251","12916.141","18.516","10625.489","15.232"
"Heavy and Tractor-Trailer Truck Drivers","2.021","72436.69","35986.53","49.68","14506.547","20.027","21943.614","30.294"
"Waiters and Waitresses","1.71","61309.1","27201.163","44.367","21557.658","35.162","12550.279","20.47"
"Stockers and Order Fillers","1.482","53137.55","40687.159","76.57","1926.453","3.625","10523.938","19.805"
"Laborers and Freight, Stock, and Material Movers, Hand","1.536","55070.51","31853.513","57.841","9139.512","16.596","14077.485","25.563"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.388","49761.38","18352.56","36.881","18185.562","36.546","13223.259","26.573"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.223","43850.28","29765.882","67.881","3995.692","9.112","10088.706","23.007"
"Bookkeeping, Accounting, and Auditing Clerks","1.053","37726.72","33010.578","87.499","334.723","0.887","4381.418","11.614"
"Registered Nurses","1.8","64529.92","15489.069","24.003","17153.568","26.582","31887.283","49.415"
"Accountants and Auditors","1.119","40113.41","15023.047","37.451","16347.42","40.753","8742.943","21.796"
"General and Operations Managers","2.068","74124.2","5654.656","7.629","24295.607","32.777","44173.937","59.594"
"Construction Laborers","1.335","47836.06","13513.892","28.25","11868.676","24.811","22453.492","46.938"
"Project Management Specialists and Business Operations Specialists, All Other","1.025","36734.31","15397.765","41.917","9730.322","26.488","11606.224","31.595"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.944","33822.44","11716.164","34.64","11187.396","33.077","10918.88","32.283"
"Cooks, Restaurant","0.909","32598.8","9560.334","29.327","11883.694","36.454","11154.773","34.218"
"First-Line Supervisors of Retail Sales Workers","0.95","34069.11","12552.876","36.845","8083.18","23.726","13433.053","39.429"
"Maintenance and Repair Workers, General","1.143","40971.73","11976.21","29.23","7148.178","17.447","21847.342","53.323"
