"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","6.628","4210.85","2492.87","59.201","914.114","21.709","803.866","19.09"
"Fast Food and Counter Workers","5.51","3500.41","2431.805","69.472","362.529","10.357","706.075","20.171"
"Customer Service Representatives","4.583","2911.56","1944.651","66.791","552.056","18.961","414.853","14.248"
"Cashiers","4.369","2775.65","2175.047","78.362","197.126","7.102","403.477","14.536"
"Home Health and Personal Care Aides","9.737","6185.81","665.376","10.756","1044.895","16.892","4475.539","72.352"
"Waiters and Waitresses","3.051","1938.43","859.148","44.322","680.967","35.13","398.315","20.548"
"Stockers and Order Fillers","2.508","1593.07","1237.479","77.679","58.99","3.703","296.601","18.618"
"Office Clerks, General","2.509","1593.96","933.228","58.548","341.977","21.455","318.755","19.998"
"Registered Nurses","3.13","1988.23","475.952","23.938","523.521","26.331","988.757","49.731"
"Laborers and Freight, Stock, and Material Movers, Hand","1.591","1010.49","605.757","59.947","176.908","17.507","227.824","22.546"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.464","929.73","349.422","37.583","348.849","37.522","231.458","24.895"
"Medical Assistants","1.96","1244.85","424.136","34.071","271.465","21.807","549.248","44.122"
"Cooks, Restaurant","1.636","1039.37","304.588","29.305","378.485","36.415","356.298","34.28"
"First-Line Supervisors of Retail Sales Workers","1.732","1100.56","407.15","36.995","262.335","23.837","431.075","39.169"
"Medical Secretaries and Administrative Assistants","1.211","769.27","620.711","80.688","16.001","2.08","132.558","17.232"
"Bookkeeping, Accounting, and Auditing Clerks","1.027","652.53","582.298","89.237","5.912","0.906","64.32","9.857"
"Maids and Housekeeping Cleaners","1.213","770.36","275.227","35.727","273.549","35.509","221.584","28.764"
"Nursing Assistants","2.451","1556.86","311.345","19.998","219.031","14.069","1026.483","65.933"
"Heavy and Tractor-Trailer Truck Drivers","1.16","736.7","373.921","50.756","151.539","20.57","211.24","28.674"
"Food Preparation Workers","0.886","563.04","457.377","81.234","0","0","105.663","18.766"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.902","573.02","402.137","70.179","54.597","9.528","116.286","20.294"
"Childcare Workers","1.355","860.7","116.656","13.554","316.363","36.756","427.681","49.69"
"First-Line Supervisors of Food Preparation and Serving Workers","1.245","791.02","220.66","27.896","158.673","20.059","411.687","52.045"
"Shipping, Receiving, and Inventory Clerks","0.709","450.18","337.067","74.874","32.029","7.115","81.084","18.011"
"Receptionists and Information Clerks","0.694","440.7","326.176","74.013","33.856","7.682","80.668","18.304"
"Helpers--Production Workers","0.689","437.4","328.589","75.123","11.964","2.735","96.847","22.141"
"First-Line Supervisors of Office and Administrative Support Workers","0.91","578.33","91.127","15.757","243.944","42.181","243.259","42.062"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.635","403.18","279.618","69.353","41.571","10.311","81.99","20.336"
"Security Guards","1.036","658.05","149.034","22.648","167.907","25.516","341.11","51.836"
"Billing and Posting Clerks","0.546","346.75","286.444","82.608","19.032","5.489","41.274","11.903"
"Cooks, Fast Food","0.547","347.42","245.495","70.662","18.997","5.468","82.927","23.869"
"Bartenders","0.564","358.1","233.85","65.303","28.866","8.061","95.384","26.636"
"Licensed Practical and Licensed Vocational Nurses","0.92","584.32","108.522","18.572","144.142","24.668","331.656","56.759"
"Landscaping and Groundskeeping Workers","0.54","342.84","94.115","27.452","153.079","44.65","95.646","27.898"
"Pharmacy Technicians","0.486","308.89","243.678","78.888","0","0","65.212","21.112"
"Dental Assistants","0.97","616.22","142.466","23.119","100.572","16.321","373.183","60.56"
"General and Operations Managers","0.921","585.06","45.366","7.754","197.166","33.7","342.528","58.546"
"Dishwashers","0.497","316.02","235.811","74.619","0","0","80.209","25.381"
"Bill and Account Collectors","0.461","292.63","193.219","66.028","31.496","10.763","67.916","23.209"
"Light Truck Drivers","0.434","275.89","150.519","54.558","64.828","23.498","60.543","21.945"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.44","279.33","97.041","34.741","92.763","33.209","89.526","32.05"
"Miscellaneous Assemblers and Fabricators","0.473","300.42","155.842","51.875","27.457","9.14","117.121","38.986"
"Data Entry Keyers","0.316","200.9","182.902","91.041","0","0","17.998","8.959"
"Industrial Truck and Tractor Operators","0.404","256.36","130.767","51.009","50.692","19.774","74.901","29.217"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.468","297.51","153.977","51.755","25.918","8.712","117.615","39.533"
"Cooks, Institution and Cafeteria","0.501","318","129.639","40.767","40.823","12.837","147.538","46.396"
"Parts Salespersons","0.32","203.36","146.233","71.909","17.26","8.487","39.867","19.604"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.375","238.51","83.275","34.915","80.116","33.59","75.119","31.495"
"Food Servers, Nonrestaurant","0.347","220.39","134.849","61.186","19.83","8.998","65.711","29.816"
"Reservation and Transportation Ticket Agents and Travel Clerks","0.293","185.97","134.64","72.399","13.522","7.271","37.809","20.33"
"Driver/Sales Workers","0.265","168.54","94.553","56.101","40.866","24.247","33.121","19.652"
"Machinists","0.326","207.18","110.334","53.255","24.308","11.733","72.538","35.012"
"Maintenance and Repair Workers, General","0.331","209.97","70.392","33.525","48.655","23.172","90.923","43.303"
"Welders, Cutters, Solderers, and Brazers","0.24","152.23","105.049","69.007","11.224","7.373","35.958","23.621"
"Production, Planning, and Expediting Clerks","0.24","152.6","107.282","70.302","7.054","4.623","38.264","25.075"
"Clinical Laboratory Technologists and Technicians","0.356","225.91","80.288","35.54","33.629","14.886","111.993","49.574"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.334","211.98","71.551","33.754","33.94","16.011","106.489","50.236"
"Counter and Rental Clerks","0.203","128.84","96.228","74.688","3.337","2.59","29.275","22.722"
"Executive Secretaries and Executive Administrative Assistants","0.207","131.26","83.605","63.694","14.892","11.345","32.763","24.961"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.225","142.63","97.47","68.338","0.387","0.272","44.773","31.391"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","0.241","152.82","29.948","19.597","62.324","40.783","60.548","39.62"
"First-Line Supervisors of Production and Operating Workers","0.307","194.95","34.73","17.815","56.725","29.097","103.494","53.088"
"Cooks, Short Order","0.19","120.79","89.314","73.941","1.667","1.38","29.809","24.678"
"Industrial Machinery Mechanics","0.233","147.79","75.939","51.383","10.801","7.309","61.05","41.309"
"Packers and Packagers, Hand","0.161","102.39","85.363","83.37","0","0","17.027","16.63"
"Amusement and Recreation Attendants","0.209","132.79","76.71","57.768","8.132","6.124","47.948","36.108"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","0.315","199.87","22.962","11.489","58.287","29.162","118.621","59.349"
"Medical and Health Services Managers","0.524","332.64","0","0","78.055","23.465","254.585","76.535"
"File Clerks","0.141","89.6","76.571","85.459","1.284","1.433","11.745","13.108"
"Exercise Trainers and Group Fitness Instructors","0.227","144.45","1.525","1.055","75.377","52.182","67.548","46.762"
"Automotive Service Technicians and Mechanics","0.224","142.48","46.301","32.497","30.576","21.46","65.603","46.044"
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","0.163","103.43","76.162","73.636","0","0","27.268","26.364"
"Packaging and Filling Machine Operators and Tenders","0.154","97.62","75.144","76.976","0","0","22.476","23.024"
"Phlebotomists","0.29","184.28","63.042","34.21","8.653","4.696","112.585","61.095"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.208","132.05","47.847","36.234","21.81","16.517","62.393","47.25"
"Dispatchers, Except Police, Fire, and Ambulance","0.147","93.26","67.268","72.13","1.411","1.513","24.581","26.357"
"Telecommunications Line Installers and Repairers","0.163","103.86","16.011","15.416","52.282","50.339","35.567","34.245"
"Preschool Teachers, Except Special Education","0.377","239.54","10.961","4.576","55.21","23.048","173.369","72.376"
"Machine Feeders and Offbearers","0.135","85.83","60.465","70.448","5.469","6.372","19.895","23.18"
"Payroll and Timekeeping Clerks","0.113","72.03","52.625","73.06","12.953","17.983","6.452","8.957"
"Mail Clerks and Mail Machine Operators, Except Postal Service","0.119","75.8","61.826","81.565","3.009","3.969","10.965","14.466"
"Cleaners of Vehicles and Equipment","0.142","90.33","48.904","54.139","13.327","14.753","28.099","31.107"
"Medical Transcriptionists","0.107","68.12","61.756","90.658","0","0","6.364","9.342"
"Pharmacists","0.158","100.5","42.134","41.924","18.235","18.144","40.131","39.932"
"Project Management Specialists and Business Operations Specialists, All Other","0.135","85.96","36.335","42.27","23.015","26.774","26.61","30.956"
"Emergency Medical Technicians and Paramedics","0.223","141.37","16.646","11.775","42.286","29.911","82.439","58.314"
