"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Customer Service Representatives","4.949","11720.72","7827.026","66.779","2221.315","18.952","1672.379","14.269"
"Retail Salespersons","4.788","11341.37","6714.251","59.201","2462.055","21.709","2165.064","19.09"
"Fast Food and Counter Workers","4.452","10544.67","7329.236","69.507","1093.495","10.37","2121.939","20.123"
"Cashiers","3.153","7468.27","5852.044","78.359","530.386","7.102","1085.84","14.539"
"Office Clerks, General","3.046","7214.11","4215.187","58.43","1543.414","21.394","1455.509","20.176"
"Stockers and Order Fillers","2.681","6349.71","4898.287","77.142","232.804","3.666","1218.619","19.192"
"Heavy and Tractor-Trailer Truck Drivers","2.883","6828.46","3447.088","50.481","1395.547","20.437","1985.825","29.082"
"Waiters and Waitresses","2.399","5683.1","2519.427","44.332","1996.869","35.137","1166.804","20.531"
"Laborers and Freight, Stock, and Material Movers, Hand","2.177","5156.66","3046.977","59.088","882.857","17.121","1226.826","23.791"
"Home Health and Personal Care Aides","5.401","12793.14","1377.402","10.767","2162.796","16.906","9252.942","72.327"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.711","4051.79","1541.319","38.04","1549.014","38.23","961.458","23.729"
"Bookkeeping, Accounting, and Auditing Clerks","1.373","3251.76","2896.768","89.083","29.407","0.904","325.585","10.013"
"Registered Nurses","1.945","4606.46","1103.525","23.956","1216.08","26.399","2286.856","49.645"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.227","2905.77","2034.227","70.006","275.94","9.496","595.602","20.497"
"Cooks, Restaurant","1.305","3091.76","906.248","29.312","1126.222","36.427","1059.29","34.262"
"Miscellaneous Assemblers and Fabricators","1.27","3006.79","1560.34","51.894","274.821","9.14","1171.63","38.966"
"First-Line Supervisors of Retail Sales Workers","1.26","2984.76","1103.779","36.981","711.144","23.826","1169.836","39.194"
"Shipping, Receiving, and Inventory Clerks","0.919","2176.37","1619.517","74.414","152.936","7.027","403.917","18.559"
"Industrial Truck and Tractor Operators","1.051","2488.97","1269.718","51.014","492.125","19.772","727.127","29.214"
"Maids and Housekeeping Cleaners","0.986","2335.72","845.537","36.2","841.294","36.019","648.889","27.781"
"First-Line Supervisors of Office and Administrative Support Workers","1.131","2678.75","422.149","15.759","1130.806","42.214","1125.795","42.027"
"Light Truck Drivers","0.831","1968.88","1062.347","53.957","455.703","23.145","450.829","22.898"
"Medical Assistants","1.112","2633.46","899.337","34.15","575.9","21.869","1158.223","43.981"
"Security Guards","1.239","2935.24","667.916","22.755","772.45","26.316","1494.874","50.929"
"Medical Secretaries and Administrative Assistants","0.725","1716.9","1389.091","80.907","36.13","2.104","291.679","16.989"
"Food Preparation Workers","0.732","1732.98","1411.106","81.427","0","0","321.874","18.573"
"Receptionists and Information Clerks","0.676","1601.24","1191.375","74.403","124.556","7.779","285.309","17.818"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.743","1760.15","1202.484","68.317","4.781","0.272","552.885","31.411"
"General and Operations Managers","1.233","2921.41","225.738","7.727","981.001","33.58","1714.671","58.693"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.706","1671.97","583.042","34.872","560.052","33.497","528.875","31.632"
"First-Line Supervisors of Food Preparation and Serving Workers","0.998","2364.44","660.308","27.927","475.922","20.128","1228.21","51.945"
"Construction Laborers","0.873","2068.3","600.545","29.036","532.966","25.768","934.789","45.196"
"Nursing Assistants","1.375","3256.08","653.166","20.06","459.376","14.108","2143.538","65.832"
"Billing and Posting Clerks","0.524","1241.47","1030.908","83.039","68.701","5.534","141.861","11.427"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.64","1516.22","524.833","34.615","499.365","32.935","492.021","32.451"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.499","1182.86","820.871","69.397","122.164","10.328","239.825","20.275"
"Bill and Account Collectors","0.514","1216.74","804.276","66.101","131.4","10.799","281.064","23.1"
"Welders, Cutters, Solderers, and Brazers","0.517","1224.43","838.627","68.491","88.674","7.242","297.129","24.267"
"Childcare Workers","0.756","1790.47","242.823","13.562","659.655","36.843","887.992","49.595"
