"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","7.967","4140.76","2871.221","69.34","426.741","10.306","842.798","20.354"
"Waiters and Waitresses","4.49","2333.75","1034.103","44.311","819.659","35.122","479.988","20.567"
"Customer Service Representatives","3.515","1827.07","1219.369","66.739","345.633","18.917","262.068","14.344"
"Office Clerks, General","2.648","1376.06","801.406","58.239","293.023","21.294","281.631","20.466"
"Home Health and Personal Care Aides","7.191","3737.35","402.206","10.762","631.579","16.899","2703.565","72.339"
"Cooks, Restaurant","2.426","1260.86","369.253","29.286","458.717","36.381","432.89","34.333"
"Laborers and Freight, Stock, and Material Movers, Hand","1.612","837.98","505.291","60.299","148.132","17.677","184.558","22.024"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.644","854.36","322.924","37.797","323.504","37.865","207.932","24.338"
"Medical Secretaries and Administrative Assistants","1.376","715.14","576.867","80.665","14.856","2.077","123.417","17.258"
"Maids and Housekeeping Cleaners","1.428","742.29","265.698","35.794","264.121","35.582","212.471","28.624"
"Bookkeeping, Accounting, and Auditing Clerks","1.133","588.69","523.302","88.893","5.312","0.902","60.077","10.205"
"Miscellaneous Assemblers and Fabricators","1.628","845.88","439.093","51.91","77.321","9.141","329.466","38.95"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.126","584.97","408.575","69.845","55.378","9.467","121.017","20.688"
"First-Line Supervisors of Food Preparation and Serving Workers","1.757","913.01","254.331","27.856","182.341","19.971","476.339","52.172"
"Medical Assistants","1.454","755.81","257.664","34.091","164.937","21.823","333.209","44.086"
"Heavy and Tractor-Trailer Truck Drivers","1.048","544.48","299.162","54.945","122.844","22.562","122.474","22.494"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.924","480.33","333.138","69.356","49.531","10.312","97.66","20.332"
"Inspectors, Testers, Sorters, Samplers, and Weighers","1.065","553.72","380.546","68.725","1.505","0.272","171.669","31.003"
"Registered Nurses","1.412","733.67","175.74","23.954","193.613","26.39","364.318","49.657"
"Food Preparation Workers","0.831","431.98","346.682","80.254","0","0","85.298","19.746"
"Receptionists and Information Clerks","0.798","414.97","307.145","74.016","31.898","7.687","75.927","18.297"
"Nursing Assistants","1.82","946.09","189.505","20.03","133.298","14.089","623.287","65.88"
"Cooks, Fast Food","0.81","421.13","297.26","70.586","23.02","5.466","100.85","23.948"
"Welders, Cutters, Solderers, and Brazers","0.804","417.89","288.635","69.07","30.873","7.388","98.382","23.543"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.904","469.95","163.068","34.699","156.009","33.197","150.873","32.104"
"Bartenders","0.808","419.82","274.186","65.31","33.854","8.064","111.78","26.626"
"Stockers and Order Fillers","0.7","363.91","281.453","77.341","13.387","3.679","69.07","18.98"
"Security Guards","1.156","600.56","136.344","22.703","155.799","25.942","308.418","51.355"
"Industrial Truck and Tractor Operators","0.748","388.85","210.972","54.255","81.046","20.843","96.832","24.902"
"First-Line Supervisors of Office and Administrative Support Workers","0.955","496.21","78.092","15.738","208.896","42.098","209.222","42.164"
"Dishwashers","0.705","366.28","272.992","74.531","0","0","93.288","25.469"
"Billing and Posting Clerks","0.594","308.92","254.853","82.498","16.922","5.478","37.145","12.024"
"Shipping, Receiving, and Inventory Clerks","0.618","320.94","240.493","74.934","22.874","7.127","57.573","17.939"
"Licensed Practical and Licensed Vocational Nurses","1.156","600.93","111.742","18.595","148.381","24.692","340.806","56.713"
"General and Operations Managers","1.2","623.81","48.299","7.743","210.377","33.725","365.134","58.533"
"Childcare Workers","0.975","506.6","68.686","13.558","186.449","36.804","251.465","49.638"
"Helpers--Production Workers","0.618","321.15","241.041","75.055","8.778","2.733","71.332","22.211"
"First-Line Supervisors of Production and Operating Workers","1","519.56","92.685","17.839","151.405","29.141","275.47","53.02"
"Landscaping and Groundskeeping Workers","0.579","300.9","83.564","27.771","136.988","45.526","80.348","26.703"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.687","357.15","184.787","51.739","31.098","8.707","141.264","39.553"
"Packaging and Filling Machine Operators and Tenders","0.51","265.01","204.065","77.003","0","0","60.945","22.997"
"Bill and Account Collectors","0.501","260.3","171.842","66.017","28.002","10.758","60.456","23.225"
"Accountants and Auditors","0.428","222.69","83.894","37.673","92.017","41.321","46.779","21.006"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","0.514","267.39","107.953","40.373","57.497","21.503","101.941","38.124"
"Light Truck Drivers","0.392","203.85","115.156","56.49","50.205","24.628","38.49","18.881"
"Dental Assistants","0.725","376.66","87.284","23.173","61.6","16.354","227.776","60.473"
"Maintenance and Repair Workers, General","0.482","250.43","84.441","33.718","58.84","23.496","107.149","42.786"
