"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","3.789","5794.94","3431.213","59.21","1258.153","21.711","1105.574","19.078"
"Cashiers","2.394","3661.56","2873.573","78.479","260.229","7.107","527.758","14.413"
"Fast Food and Counter Workers","2.164","3309.43","2302.635","69.578","344.107","10.398","662.688","20.024"
"Home Health and Personal Care Aides","5.782","8844.69","951.699","10.76","1494.47","16.897","6398.521","72.343"
"Office Clerks, General","2.073","3170.62","1785.189","56.304","643.281","20.289","742.151","23.407"
"Construction Laborers","2.83","4329.13","1194.267","27.587","1038.307","23.984","2096.556","48.429"
"Customer Service Representatives","1.595","2440.36","1619.824","66.376","454.588","18.628","365.947","14.996"
"Heavy and Tractor-Trailer Truck Drivers","1.827","2794.7","1372.801","49.122","552.013","19.752","869.886","31.126"
"Stockers and Order Fillers","1.299","1986.65","1528.155","76.921","72.453","3.647","386.042","19.432"
"First-Line Supervisors of Construction Trades and Extraction Workers","2.995","4580.55","247.728","5.408","1266.902","27.658","3065.92","66.933"
"Electricians","2.848","4356.17","504.409","11.579","979.18","22.478","2872.581","65.943"
"Plumbers, Pipefitters, and Steamfitters","2.023","3094.34","399.556","12.912","1059.054","34.226","1635.729","52.862"
"Registered Nurses","1.866","2854.16","683.74","23.956","753.469","26.399","1416.951","49.645"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.196","1829.67","692.195","37.832","693.969","37.929","443.506","24.24"
"Waiters and Waitresses","1.133","1732.37","768.183","44.343","608.838","35.145","355.349","20.512"
"Operating Engineers and Other Construction Equipment Operators","1.683","2573.9","719.253","27.944","582.796","22.643","1271.852","49.413"
"Miscellaneous Assemblers and Fabricators","1.139","1742.88","903.337","51.83","159.194","9.134","680.349","39.036"
"Cement Masons and Concrete Finishers","1.145","1751.73","997.492","56.943","63.145","3.605","691.093","39.452"
"Bookkeeping, Accounting, and Auditing Clerks","0.785","1200.69","1033.365","86.064","10.466","0.872","156.858","13.064"
"Machinists","1.033","1580.81","838.974","53.072","184.655","11.681","557.182","35.247"
"Medical Assistants","1.19","1820.15","621.472","34.144","397.95","21.864","800.728","43.992"
"Painters, Construction and Maintenance","0.93","1422.74","312.376","21.956","643.879","45.256","466.485","32.788"
"Medical Secretaries and Administrative Assistants","0.749","1146.21","923.211","80.545","23.657","2.064","199.342","17.391"
"First-Line Supervisors of Retail Sales Workers","0.986","1507.92","558.113","37.012","359.629","23.849","590.177","39.139"
"Carpenters","1.005","1537.67","609.975","39.669","289.192","18.807","638.503","41.524"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.762","1165.67","774.927","66.479","103.205","8.854","287.539","24.667"
"General and Operations Managers","1.454","2224.47","166.87","7.502","707.454","31.803","1350.146","60.695"
"Laborers and Freight, Stock, and Material Movers, Hand","0.768","1175.15","672.48","57.225","192.883","16.413","309.787","26.362"
