"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","6.699","3439.39","2387.363","69.412","355.416","10.334","696.611","20.254"
"Retail Salespersons","6.348","3259.39","1930.257","59.221","707.752","21.714","621.381","19.064"
"Heavy and Tractor-Trailer Truck Drivers","6.559","3367.7","1657.789","49.226","668.232","19.842","1041.68","30.931"
"Cashiers","4.009","2058.54","1615.63","78.484","146.306","7.107","296.604","14.408"
"Customer Service Representatives","3.72","1910.28","1270.476","66.507","357.27","18.702","282.534","14.79"
"Waiters and Waitresses","3.698","1898.91","841.557","44.318","667.03","35.127","390.322","20.555"
"Stockers and Order Fillers","2.926","1502.18","1136.375","75.648","53.562","3.566","312.244","20.786"
"Office Clerks, General","2.403","1233.98","717.453","58.141","261.995","21.232","254.532","20.627"
"Home Health and Personal Care Aides","6.448","3310.94","356.542","10.769","559.831","16.909","2394.567","72.323"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","2.121","1088.85","414.558","38.073","416.821","38.281","257.471","23.646"
"Cooks, Restaurant","2.005","1029.48","301.601","29.296","374.729","36.4","353.15","34.304"
"Light Truck Drivers","1.527","783.87","412.811","52.663","175.504","22.389","195.555","24.947"
"Registered Nurses","2.026","1040.25","249.17","23.953","274.493","26.387","516.587","49.66"
"First-Line Supervisors of Retail Sales Workers","1.657","850.8","314.94","37.017","202.94","23.853","332.92","39.13"
"Maids and Housekeeping Cleaners","1.351","693.77","250.66","36.13","249.362","35.943","193.748","27.927"
"Industrial Truck and Tractor Operators","1.451","745.05","354.502","47.581","138.913","18.645","251.635","33.774"
"Laborers and Freight, Stock, and Material Movers, Hand","1.282","658.25","371.458","56.431","104.365","15.855","182.427","27.714"
"Bookkeeping, Accounting, and Auditing Clerks","0.951","488.34","432.435","88.552","4.388","0.899","51.517","10.549"
"Medical Secretaries and Administrative Assistants","1","513.56","414.16","80.645","10.657","2.075","88.743","17.28"
"Reservation and Transportation Ticket Agents and Travel Clerks","1.005","516.19","366.882","71.075","37.133","7.194","112.175","21.731"
"Shipping, Receiving, and Inventory Clerks","0.986","506.42","368.832","72.831","34.053","6.724","103.535","20.445"
"Security Guards","1.577","809.65","184.275","22.76","213.36","26.352","412.015","50.888"
"Medical Assistants","1.32","677.51","231.258","34.133","148.073","21.855","298.179","44.011"
"First-Line Supervisors of Food Preparation and Serving Workers","1.483","761.36","212.317","27.887","152.568","20.039","396.475","52.075"
"Food Preparation Workers","0.87","446.82","361.503","80.906","0","0","85.317","19.094"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.884","454.11","314.991","69.365","42.606","9.382","96.513","21.253"
"First-Line Supervisors of Office and Administrative Support Workers","1.198","614.94","96.052","15.62","254.071","41.316","264.817","43.064"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.763","391.85","271.823","69.369","40.427","10.317","79.6","20.314"
"Nursing Assistants","1.645","844.42","169.485","20.071","119.194","14.115","555.741","65.813"
"Dispatchers, Except Police, Fire, and Ambulance","0.755","387.75","272.669","70.321","5.848","1.508","109.234","28.171"
"Cooks, Fast Food","0.673","345.67","244.132","70.626","18.899","5.467","82.64","23.907"
"Bartenders","0.66","338.9","221.304","65.301","27.314","8.06","90.282","26.64"
"Receptionists and Information Clerks","0.594","305.18","225.243","73.807","23.294","7.633","56.643","18.56"
"General and Operations Managers","1.125","577.48","44.654","7.733","192.999","33.421","339.827","58.847"
