"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Retail Salespersons","5.647","956.44","566.449","59.225","207.693","21.715","182.298","19.06"
"Fast Food and Counter Workers","5.383","911.72","633.124","69.443","94.322","10.345","184.274","20.212"
"Cashiers","3.549","601.08","471.772","78.487","42.721","7.107","86.587","14.405"
"Waiters and Waitresses","2.923","495.14","219.373","44.305","173.883","35.118","101.884","20.577"
"Heavy and Tractor-Trailer Truck Drivers","3.193","540.89","278.744","51.534","113.23","20.934","148.916","27.532"
"Stockers and Order Fillers","2.442","413.7","321.469","77.706","15.323","3.704","76.908","18.59"
"Home Health and Personal Care Aides","6.877","1164.8","125.213","10.75","196.647","16.882","842.94","72.368"
"Roustabouts, Oil and Gas","2.21","374.3","221.754","59.245","46.282","12.365","106.264","28.39"
"Electrical Power-Line Installers and Repairers","2.725","461.47","45.346","9.826","151.064","32.735","265.061","57.438"
"Customer Service Representatives","1.304","220.88","145.981","66.091","40.715","18.433","34.185","15.477"
"Cooks, Restaurant","1.592","269.66","79.002","29.297","98.158","36.401","92.5","34.302"
"Service Unit Operators, Oil and Gas","2.06","348.9","111.236","31.882","64.499","18.486","173.165","49.632"
"First-Line Supervisors of Retail Sales Workers","1.485","251.54","93.109","37.016","59.997","23.852","98.434","39.133"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1.294","219.19","76.346","34.831","73.223","33.406","69.621","31.763"
"Office Clerks, General","1.061","179.67","103.871","57.812","37.854","21.069","37.945","21.119"
"Industrial Machinery Mechanics","1.991","337.15","120.456","35.728","16.432","4.874","200.262","59.399"
"Medical Assistants","1.376","233.05","79.347","34.047","50.778","21.788","102.925","44.164"
"Laborers and Freight, Stock, and Material Movers, Hand","1","169.38","99.989","59.032","29.111","17.187","40.28","23.781"
"Food Preparation Workers","0.806","136.49","110.808","81.184","0","0","25.682","18.816"
"Industrial Truck and Tractor Operators","0.868","146.94","78.448","53.388","30.207","20.557","38.285","26.055"
"Maids and Housekeeping Cleaners","0.868","147.05","51.678","35.143","51.292","34.881","44.08","29.976"
"Miscellaneous Assemblers and Fabricators","0.96","162.52","84.164","51.787","14.848","9.136","63.508","39.077"
"Nursing Assistants","1.718","290.98","58.07","19.957","40.86","14.042","192.05","66.001"
"Welders, Cutters, Solderers, and Brazers","0.775","131.26","88.821","67.668","9.263","7.057","33.176","25.275"
"First-Line Supervisors of Food Preparation and Serving Workers","1.178","199.48","55.603","27.874","39.917","20.01","103.961","52.116"
"First-Line Supervisors of Construction Trades and Extraction Workers","1.461","247.44","14.275","5.769","80.906","32.697","152.259","61.534"
"Light Truck Drivers","0.687","116.31","66.087","56.82","28.869","24.821","21.353","18.359"
"First-Line Supervisors of Mechanics, Installers, and Repairers","1.178","199.52","42.119","21.11","51.922","26.023","105.479","52.867"
"Bookkeeping, Accounting, and Auditing Clerks","0.573","97.01","85.58","88.218","0.868","0.895","10.562","10.887"
"Driver/Sales Workers","0.584","98.96","57.595","58.2","25.021","25.284","16.344","16.516"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.733","124.16","81.634","65.749","0.336","0.271","42.19","33.98"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.6","101.71","70.504","69.319","10.474","10.297","20.732","20.384"
"Childcare Workers","0.919","155.72","21.097","13.548","57.148","36.699","77.475","49.753"
"General and Operations Managers","1.119","189.53","14.533","7.668","62.562","33.009","112.435","59.323"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","0.675","114.33","38.105","33.329","36.309","31.758","39.916","34.913"
"First-Line Supervisors of Production and Operating Workers","0.964","163.35","28.001","17.141","45.733","27.997","89.616","54.861"
"Power Plant Operators","1.052","178.24","59.552","33.411","13.535","7.594","105.152","58.995"
"Operating Engineers and Other Construction Equipment Operators","0.738","124.98","39.039","31.236","32.208","25.771","53.733","42.993"
"Rotary Drill Operators, Oil and Gas","0.751","127.17","56.438","44.38","14.469","11.378","56.263","44.242"
"Cooks, Fast Food","0.539","91.31","64.515","70.655","4.993","5.468","21.802","23.877"
"Shipping, Receiving, and Inventory Clerks","0.493","83.47","62.519","74.9","5.945","7.123","15.006","17.977"
"Derrick Operators, Oil and Gas","0.58","98.16","52.419","53.402","14.599","14.873","31.142","31.726"
"Registered Nurses","0.758","128.43","30.743","23.938","33.813","26.328","63.874","49.734"
"Bartenders","0.519","87.89","57.376","65.282","7.076","8.051","23.438","26.667"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.561","95.04","32.732","34.44","30.936","32.551","31.372","33.009"
"Electricians","1.069","180.98","21.013","11.611","40.599","22.433","119.368","65.956"
"Dishwashers","0.468","79.24","59.061","74.534","0","0","20.179","25.466"
"Helpers--Extraction Workers","0.531","89.97","50.145","55.736","5.796","6.442","34.029","37.822"
"Water and Wastewater Treatment Plant and System Operators","1.077","182.37","30.274","16.6","25.322","13.885","126.774","69.515"
"Maintenance and Repair Workers, General","0.746","126.33","35.347","27.98","20.078","15.893","70.904","56.126"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.414","70.17","47.739","68.034","6.413","9.139","16.018","22.827"
"Control and Valve Installers and Repairers, Except Mechanical Door","0.782","132.47","44.514","33.603","8.792","6.637","79.164","59.76"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.575","97.31","35.881","36.872","16.525","16.981","44.905","46.146"
"Wellhead Pumpers","0.625","105.88","34.55","32.631","17.735","16.75","53.595","50.619"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.451","76.37","39.522","51.751","6.652","8.71","30.195","39.538"
"Parts Salespersons","0.337","57.08","41.046","71.909","4.845","8.487","11.19","19.604"
"Packaging and Filling Machine Operators and Tenders","0.348","58.99","45.392","76.949","0","0","13.598","23.051"
"Dental Assistants","0.675","114.29","26.342","23.048","18.603","16.277","69.345","60.675"
"First-Line Supervisors of Office and Administrative Support Workers","0.365","61.8","9.612","15.554","25.491","41.247","26.697","43.199"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","0.389","65.92","33.055","50.145","1.481","2.246","31.384","47.609"
"Pharmacy Technicians","0.248","42.09","33.395","79.342","0","0","8.695","20.658"
"Cooks, Institution and Cafeteria","0.367","62.11","25.283","40.707","7.953","12.805","28.874","46.488"
"Food Servers, Nonrestaurant","0.275","46.63","28.524","61.171","4.193","8.993","13.913","29.836"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","0.268","45.46","16.828","37.018","14.638","32.201","13.993","30.781"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","0.224","37.97","27.686","72.915","1.358","3.578","8.926","23.507"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","0.438","74.19","16.399","22.104","12.361","16.661","45.43","61.235"
"Packers and Packagers, Hand","0.201","34.05","28.664","84.183","0","0","5.386","15.817"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","0.272","45.99","18.502","40.231","9.865","21.451","17.622","38.318"
"Machinists","0.263","44.55","23.002","51.633","5.042","11.318","16.505","37.049"
"Automotive Service Technicians and Mechanics","0.36","60.99","17.022","27.91","10.849","17.787","33.119","54.302"
"Medical Secretaries and Administrative Assistants","0.181","30.71","24.704","80.443","0.63","2.053","5.376","17.505"
"Counter and Rental Clerks","0.191","32.38","24.303","75.056","0.846","2.613","7.231","22.331"
"Receptionists and Information Clerks","0.179","30.27","22.433","74.11","2.336","7.716","5.501","18.174"
"Power Distributors and Dispatchers","0.302","51.07","23.377","45.775","1.333","2.611","26.359","51.614"
"Geological and Hydrologic Technicians","0.223","37.73","22.666","60.075","0.991","2.627","14.073","37.298"
"Construction Laborers","0.258","43.76","12.422","28.388","10.952","25.028","20.385","46.584"
"Cooks, Short Order","0.177","30.05","22.204","73.891","0.415","1.38","7.431","24.729"
"Mixing and Blending Machine Setters, Operators, and Tenders","0.174","29.55","20.991","71.034","1.359","4.6","7.2","24.366"
"Plumbers, Pipefitters, and Steamfitters","0.263","44.48","5.947","13.37","16.247","36.526","22.286","50.104"
"Accountants and Auditors","0.175","29.62","10.789","36.424","11.389","38.451","7.442","25.125"
"Licensed Practical and Licensed Vocational Nurses","0.297","50.28","9.327","18.549","12.391","24.645","28.562","56.806"
"Production, Planning, and Expediting Clerks","0.17","28.79","19.792","68.747","1.312","4.558","7.685","26.695"
"Project Management Specialists and Business Operations Specialists, All Other","0.202","34.19","13.229","38.692","7.869","23.016","13.092","38.291"
"Billing and Posting Clerks","0.132","22.28","18.035","80.947","1.187","5.327","3.058","13.726"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","0.149","25.25","15.254","60.41","2.736","10.836","7.26","28.753"
"Electrical and Electronic Engineering Technologists and Technicians","0.275","46.61","4.683","10.046","13.259","28.447","28.668","61.507"
"Installation, Maintenance, and Repair Workers, All Other","0.133","22.51","17.922","79.62","0","0","4.588","20.38"
"Chemical Equipment Operators and Tenders","0.171","28.93","15.138","52.325","2.632","9.098","11.16","38.578"
"Financial Managers","0.171","29.03","9.885","34.052","7.488","25.793","11.657","40.155"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","0.174","29.43","7.889","26.805","9.329","31.7","12.212","41.495"
"Security Guards","0.224","37.89","8.42","22.223","8.468","22.35","21.001","55.427"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","0.128","21.71","16.762","77.208","0","0","4.948","22.792"
"Underground Mining Machine Operators and Extraction Workers, All Other","0.176","29.84","12.93","43.332","3.634","12.178","13.276","44.49"
"Computer Numerically Controlled Tool Operators","0.126","21.33","14.348","67.269","0.156","0.73","6.826","32.001"
"Sales and Related Workers, All Other","0.111","18.8","14.063","74.801","0.144","0.764","4.594","24.435"
"Tire Repairers and Changers","0.119","20.24","13.377","66.092","0.474","2.344","6.388","31.563"
"Sales Managers","0.186","31.5","1.479","4.694","12.146","38.558","17.875","56.747"
"Sewing Machine Operators","0.099","16.77","13.601","81.104","0","0","3.169","18.896"
"Food Batchmakers","0.114","19.26","12.622","65.537","0.858","4.457","5.779","30.006"
"Phlebotomists","0.204","34.49","11.779","34.151","1.616","4.685","21.095","61.163"
"Order Clerks","0.099","16.72","11.781","70.459","1.144","6.84","3.796","22.701"
"Administrative Services and Facilities Managers","0.136","23.07","3.536","15.326","9.21","39.921","10.325","44.753"
"Mobile Heavy Equipment Mechanics, Except Engines","0.164","27.85","9.197","33.022","3.491","12.535","15.162","54.443"
"First-Line Supervisors of Non-Retail Sales Workers","0.164","27.85","1.328","4.767","10.917","39.198","15.606","56.035"
"Bus and Truck Mechanics and Diesel Engine Specialists","0.198","33.5","8.057","24.05","4.093","12.218","21.35","63.732"
"Medical and Health Services Managers","0.298","50.52","0","0","11.808","23.373","38.712","76.627"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","0.091","15.4","11.286","73.283","0.407","2.644","3.707","24.073"
"Printing Press Operators","0.092","15.58","10.812","69.393","0.756","4.855","4.012","25.752"
"Butchers and Meat Cutters","0.088","14.93","10.743","71.959","0.551","3.689","3.636","24.352"
"Executive Secretaries and Executive Administrative Assistants","0.091","15.4","9.569","62.139","1.639","10.646","4.191","27.214"
"Gas Plant Operators","0.133","22.55","9.278","41.142","1.582","7.015","11.69","51.842"
"Pump Operators, Except Wellhead Pumpers","0.093","15.69","10.816","68.938","0","0","4.874","31.062"
"Wind Turbine Service Technicians","0.262","44.32","0.494","1.116","10.319","23.282","33.507","75.602"
"Real Estate Sales Agents","0.109","18.48","2.011","10.884","8.621","46.652","7.847","42.463"
"Buyers and Purchasing Agents","0.085","14.46","5.735","39.662","4.739","32.775","3.986","27.563"
"Physical Therapist Assistants","0.17","28.85","1.185","4.108","9.085","31.489","18.58","64.403"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","0.141","23.93","6.032","25.208","4.129","17.256","13.768","57.536"
"Production Workers, All Other","0.074","12.47","10.061","80.678","0","0","2.409","19.322"
"Slaughterers and Meat Packers","0.069","11.72","9.916","84.61","0","0","1.804","15.39"
"Clinical Laboratory Technologists and Technicians","0.115","19.53","6.938","35.525","2.907","14.883","9.685","49.592"
"Dispatchers, Except Police, Fire, and Ambulance","0.082","13.83","9.538","68.963","0.207","1.498","4.085","29.539"
"Cleaners of Vehicles and Equipment","0.083","14.06","7.647","54.385","2.08","14.793","4.334","30.822"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","0.076","12.87","2.605","20.238","7.105","55.208","3.16","24.553"
"Structural Metal Fabricators and Fitters","0.074","12.46","8.008","64.27","1.566","12.565","2.886","23.166"
"Occupational Health and Safety Specialists","0.196","33.23","0.297","0.894","9.246","27.825","23.687","71.281"
"Cabinetmakers and Bench Carpenters","0.069","11.67","7.041","60.336","2.161","18.515","2.468","21.149"
"Hairdressers, Hairstylists, and Cosmetologists","0.111","18.73","1.663","8.877","7.502","40.052","9.566","51.072"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.108","18.28","6.167","33.734","2.923","15.989","9.191","50.277"
"Petroleum Engineers","0.111","18.79","3.656","19.459","5.407","28.775","9.727","51.766"
