"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","4.312","51744.05","35914.449","69.408","5346.198","10.332","10483.402","20.26"
"Customer Service Representatives","3.15","37804.57","25182.899","66.613","7111.75","18.812","5509.92","14.575"
"Office Clerks, General","2.906","34875.27","20129.048","57.717","7329.282","21.016","7416.94","21.267"
"Cashiers","2.556","30668.5","23762.3","77.481","2166.458","7.064","4739.742","15.455"
"Retail Salespersons","2.591","31091.71","18370.045","59.083","6739.415","21.676","5982.25","19.241"
"Waiters and Waitresses","2.351","28206.94","12501.775","44.322","9909.004","35.13","5796.161","20.549"
"Stockers and Order Fillers","1.708","20496.28","15812.352","77.147","751.343","3.666","3932.584","19.187"
"Heavy and Tractor-Trailer Truck Drivers","1.787","21441","10735.194","50.069","4336.785","20.227","6369.021","29.705"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","1.545","18535.78","12703.758","68.536","1711.22","9.232","4120.803","22.232"
"Bookkeeping, Accounting, and Auditing Clerks","1.218","14613.2","12897.725","88.261","130.857","0.895","1584.618","10.844"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.376","16511.06","6152.853","37.265","6118.406","37.056","4239.8","25.679"
"Home Health and Personal Care Aides","3.376","40511.83","4361.249","10.765","6848.139","16.904","29302.442","72.331"
"Registered Nurses","1.842","22103.34","5300.636","23.981","5856.818","26.497","10945.886","49.521"
"Laborers and Freight, Stock, and Material Movers, Hand","1.146","13754.04","7984.957","58.055","2291.03","16.657","3478.054","25.288"
"Cooks, Restaurant","1.256","15076.56","4417.002","29.297","5488.032","36.401","5171.526","34.302"
"Elementary School Teachers, Except Special Education","1.529","18345.05","431.92","2.354","8665.133","47.234","9247.997","50.411"
"Securities, Commodities, and Financial Services Sales Agents","1.015","12183.67","3821.896","31.369","4967.861","40.775","3393.913","27.856"
"Secondary School Teachers, Except Special and Career/Technical Education","1.242","14898.7","765.706","5.139","7268.293","48.785","6864.702","46.076"
"Teaching Assistants, Except Postsecondary","1.131","13571","3034.495","22.36","4440.048","32.717","6096.457","44.923"
"First-Line Supervisors of Office and Administrative Support Workers","1.08","12954.45","2032.854","15.692","5422.092","41.855","5499.505","42.453"
"Tellers","0.661","7933.25","6661.858","83.974","586.531","7.393","684.86","8.633"
"General and Operations Managers","1.487","17844.46","1364.661","7.648","5862.105","32.851","10617.694","59.501"
"Insurance Sales Agents","0.921","11050.74","3450.441","31.224","3739.535","33.84","3860.764","34.937"
"Medical Secretaries and Administrative Assistants","0.689","8268.48","6668.104","80.645","171.582","2.075","1428.795","17.28"
"Receptionists and Information Clerks","0.69","8280.68","6105.418","73.731","631.341","7.624","1543.921","18.645"
"Substitute Teachers, Short-Term","0.929","11153.6","1618.234","14.509","5044.652","45.229","4490.714","40.262"
"Maids and Housekeeping Cleaners","0.769","9233.15","3316.335","35.918","3297.733","35.716","2619.082","28.366"
"Accountants and Auditors","0.671","8049.68","3029.585","37.636","3313.023","41.157","1707.072","21.207"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.726","8711.62","3019.401","34.659","2884.591","33.112","2807.628","32.229"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.72","8644.91","2963.228","34.277","2792.479","32.302","2889.203","33.421"
"Project Management Specialists and Business Operations Specialists, All Other","0.676","8107.99","3429.616","42.299","2179.311","26.879","2499.064","30.822"
"Shipping, Receiving, and Inventory Clerks","0.568","6814","5073.023","74.45","479.413","7.036","1261.564","18.514"
"First-Line Supervisors of Food Preparation and Serving Workers","0.957","11480.75","3201.135","27.883","2299.63","20.03","5979.985","52.087"
"Light Truck Drivers","0.592","7103.36","3821.321","53.796","1634.855","23.015","1647.184","23.189"
"Food Preparation Workers","0.537","6445","5212.848","80.882","0","0","1232.152","19.118"
"First-Line Supervisors of Retail Sales Workers","0.71","8515.95","3132.557","36.785","2016.622","23.681","3366.771","39.535"
"Medical Assistants","0.717","8605.97","2940.51","34.168","1883.198","21.882","3782.262","43.949"
"Industrial Truck and Tractor Operators","0.565","6783.19","3452.919","50.904","1337.616","19.72","1992.654","29.376"
"Security Guards","0.815","9777.45","2214.023","22.644","2496.467","25.533","5066.96","51.823"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.49","5877.17","4077.865","69.385","606.703","10.323","1192.602","20.292"
"Construction Laborers","0.729","8743.58","2487.446","28.449","2190.863","25.057","4065.271","46.494"
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","0.527","6324","4630.696","73.224","0","0","1693.304","26.776"
"Billing and Posting Clerks","0.423","5076.99","4194.02","82.608","278.735","5.49","604.235","11.901"
"Maintenance and Repair Workers, General","0.744","8926.42","2666.753","29.875","1613.831","18.079","4645.836","52.046"
"Miscellaneous Assemblers and Fabricators","0.569","6823.69","3533.865","51.788","623.281","9.134","2666.544","39.078"
"Insurance Claims and Policy Processing Clerks","0.425","5098.2","3561.837","69.865","507.177","9.948","1029.186","20.187"
"Bartenders","0.456","5476.98","3578.158","65.331","442.142","8.073","1456.68","26.596"
"Driver/Sales Workers","0.402","4828.3","2700.042","55.921","1166.427","24.158","961.83","19.921"
"Cooks, Fast Food","0.415","4977.5","3515.283","70.623","272.129","5.467","1190.088","23.909"
"Software Developers and Software Quality Assurance Analysts and Testers","0.651","7807.63","216.747","2.776","3519.772","45.081","4071.111","52.143"
"Nursing Assistants","0.869","10432.58","2091.796","20.051","1471.235","14.102","6869.549","65.847"
"Hotel, Motel, and Resort Desk Clerks","0.384","4605.74","3494.236","75.867","22.242","0.483","1089.262","23.65"
"Childcare Workers","0.55","6605.19","895.601","13.559","2431.534","36.812","3278.054","49.628"
"Dishwashers","0.368","4413.11","3292.036","74.597","0","0","1121.074","25.403"
"Welders, Cutters, Solderers, and Brazers","0.371","4446.64","2975.468","66.915","303.787","6.832","1167.384","26.253"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","0.318","3814.42","827.976","21.706","2371.312","62.167","615.132","16.126"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.389","4662.43","3151.655","67.597","12.652","0.271","1498.123","32.132"
"Loan Interviewers and Clerks","0.328","3930.35","3145.221","80.024","0","0","785.129","19.976"
"Bill and Account Collectors","0.338","4052.66","2675.836","66.027","436.239","10.764","940.585","23.209"
"Education Administrators, Kindergarten through Secondary","0.539","6474.06","114.325","1.766","2753.851","42.537","3605.884","55.697"
"Executive Secretaries and Executive Administrative Assistants","0.319","3832.58","2420.67","63.16","425.1","11.092","986.81","25.748"
"Licensed Practical and Licensed Vocational Nurses","0.541","6497.23","1211.107","18.64","1607.379","24.739","3678.744","56.62"
"Landscaping and Groundskeeping Workers","0.319","3826.32","1047.267","27.37","1704.703","44.552","1074.35","28.078"
"Loan Officers","0.302","3627.05","998.886","27.54","1635.705","45.097","992.459","27.363"
"Pharmacy Technicians","0.277","3328.81","2625.931","78.885","0","0","702.879","21.115"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","0.357","4281.77","2215.714","51.748","372.921","8.71","1693.135","39.543"
"Financial Managers","0.343","4111.7","1442.629","35.086","1139.886","27.723","1529.186","37.191"
"Computer User Support Specialists","0.375","4503.71","1418.666","31.5","1082.668","24.039","2002.376","44.461"
"Automotive Service Technicians and Mechanics","0.44","5278.76","1473.159","27.907","940.857","17.823","2864.744","54.269"
"Counter and Rental Clerks","0.271","3256.8","2298.162","70.565","75.611","2.322","883.027","27.113"
"Claims Adjusters, Examiners, and Investigators","0.254","3045.15","579.497","19.03","1756.152","57.67","709.502","23.299"
"Cleaners of Vehicles and Equipment","0.31","3724.3","1807.164","48.524","515.551","13.843","1401.585","37.634"
"Production, Planning, and Expediting Clerks","0.255","3062.37","2121.404","69.273","140.249","4.58","800.717","26.147"
"Human Resources Specialists","0.249","2992.59","799.538","26.717","1432.488","47.868","760.564","25.415"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.348","4176.46","1491.277","35.707","676.245","16.192","2008.938","48.101"
"Network and Computer Systems Administrators","0.219","2627.28","393.52","14.978","1734.187","66.007","499.573","19.015"
"First-Line Supervisors of Production and Operating Workers","0.369","4430.79","783.176","17.676","1278.663","28.859","2368.951","53.466"
"Packers and Packagers, Hand","0.203","2431.65","2028.007","83.4","0","0","403.643","16.6"
"Helpers--Production Workers","0.218","2618.77","1936.211","73.936","70.635","2.697","611.924","23.367"
"Data Entry Keyers","0.178","2135.3","1934.056","90.575","0","0","201.244","9.425"
"First-Line Supervisors of Construction Trades and Extraction Workers","0.47","5634.11","309.018","5.485","1622.547","28.799","3702.545","65.717"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.281","3376.85","811.126","24.02","1040.303","30.807","1525.422","45.173"
"Tutors and Teachers and Instructors, All Other","0.223","2676.06","160.631","6.003","1646.652","61.533","868.777","32.465"
"Educational, Guidance, and Career Counselors and Advisors","0.286","3429.29","245.183","7.15","1533.886","44.729","1650.221","48.121"
"Market Research Analysts and Marketing Specialists","0.21","2519.02","0","0","1767.887","70.182","751.133","29.818"
"Electricians","0.416","4987.23","590.245","11.835","1159.463","23.249","3237.521","64.916"
"Paralegals and Legal Assistants","0.221","2656.1","1391.788","52.4","346.94","13.062","917.371","34.538"
"Personal Financial Advisors","0.177","2122.37","1188.593","56.003","544.455","25.653","389.322","18.344"
"Cooks, Institution and Cafeteria","0.269","3222.18","1314.571","40.798","414.168","12.854","1493.441","46.349"
"Computer Systems Analysts","0.331","3971.41","293.236","7.384","1429.93","36.006","2248.245","56.611"
"Plumbers, Pipefitters, and Steamfitters","0.291","3488.71","454.934","13.04","1221.252","35.006","1812.524","51.954"
"Management Analysts","0.245","2941.81","0","0","1649.97","56.087","1291.84","43.913"
"Dental Assistants","0.346","4151.24","963.407","23.208","679.791","16.376","2508.042","60.417"
"Hairdressers, Hairstylists, and Cosmetologists","0.311","3733.72","316.499","8.477","1258.763","33.713","2158.458","57.81"
"Operating Engineers and Other Construction Equipment Operators","0.251","3015.84","862.307","28.593","702.04","23.278","1451.493","48.129"
"Parts Salespersons","0.162","1946.55","1392.803","71.552","162.495","8.348","391.252","20.1"
"Reservation and Transportation Ticket Agents and Travel Clerks","0.163","1950.32","1399.729","71.769","141.089","7.234","409.502","20.997"
"Exercise Trainers and Group Fitness Instructors","0.241","2890.08","30.502","1.055","1508.105","52.182","1351.474","46.762"
"Packaging and Filling Machine Operators and Tenders","0.164","1969.14","1515.157","76.945","0","0","453.983","23.055"
"Food Servers, Nonrestaurant","0.18","2155.49","1318.809","61.184","193.926","8.997","642.755","29.819"
"Industrial Machinery Mechanics","0.25","2999.9","1324.062","44.137","184.36","6.146","1491.477","49.718"
"Amusement and Recreation Attendants","0.19","2282.8","1318.387","57.753","139.755","6.122","824.659","36.125"
"Sales and Related Workers, All Other","0.158","1892.69","1408.647","74.426","14.447","0.763","469.596","24.811"
"Health Specialties Teachers, Postsecondary","0.206","2469.65","137.918","5.585","1279.757","51.819","1051.975","42.596"
"Administrative Services and Facilities Managers","0.201","2412.01","373.784","15.497","982.945","40.752","1055.281","43.751"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","0.191","2289.24","436.865","19.083","900.314","39.328","952.061","41.589"
"Instructional Coordinators","0.19","2280.72","0","0","1335.507","58.556","945.213","41.444"
"Lawyers","0.247","2960.11","0","0","1323.517","44.712","1636.593","55.288"
"Computer and Information Systems Managers","0.17","2043.54","27.532","1.347","1290.572","63.154","725.437","35.499"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.214","2563.59","871.909","34.011","417.829","16.299","1273.851","49.69"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","0.155","1855.02","688.084","37.093","600.377","32.365","566.559","30.542"
"Clinical Laboratory Technologists and Technicians","0.212","2547.47","908.437","35.66","379.906","14.913","1259.127","49.427"
"Dispatchers, Except Police, Fire, and Ambulance","0.147","1764.5","1243.05","70.448","26.572","1.506","494.878","28.046"
"Laundry and Dry-Cleaning Workers","0.138","1657.63","1095.299","66.076","137.225","8.278","425.106","25.645"
"Payroll and Timekeeping Clerks","0.113","1350.79","973.665","72.081","239.889","17.759","137.235","10.16"
"Information and Record Clerks, All Other","0.119","1423.9","1194.862","83.915","15.789","1.109","213.248","14.976"
"Buyers and Purchasing Agents","0.136","1630.47","657.857","40.348","548.773","33.657","423.84","25.995"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","0.161","1934.27","777.712","40.207","414.48","21.428","742.078","38.365"
"Machinists","0.154","1850.75","969.039","52.359","213.297","11.525","668.414","36.116"
"Cooks, Short Order","0.128","1540.84","1133.234","73.547","21.255","1.379","386.351","25.074"
"Roustabouts, Oil and Gas","0.134","1607.13","932.616","58.03","194.313","12.091","480.201","29.879"
"Public Relations Specialists","0.169","2027.42","328.712","16.213","793.684","39.147","905.024","44.639"
"Bakers","0.118","1410.88","1106.726","78.442","7.21","0.511","296.943","21.047"
"Education Administrators, Postsecondary","0.188","2253.44","21.412","0.95","1092.012","48.46","1140.016","50.59"
"Training and Development Specialists","0.174","2088.74","123.7","5.922","987.089","47.258","977.951","46.82"
"First-Line Supervisors of Non-Retail Sales Workers","0.211","2527.58","120.125","4.753","987.653","39.075","1419.801","56.172"
"Carpenters","0.153","1832.19","736.565","40.201","358.859","19.586","736.766","40.212"
"Cement Masons and Concrete Finishers","0.15","1803.12","1028.319","57.03","65.115","3.611","709.685","39.359"
"Painters, Construction and Maintenance","0.134","1604.37","356.713","22.234","734.696","45.793","512.961","31.973"
