"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","4.362","3051.62","2118.259","69.414","315.367","10.334","617.993","20.251"
"Retail Salespersons","4.175","2921.2","1729.251","59.197","634.113","21.707","557.836","19.096"
"Home Health and Personal Care Aides","8.916","6238.08","670.751","10.753","1053.385","16.886","4513.944","72.361"
"Customer Service Representatives","2.729","1908.95","1269.631","66.509","357.129","18.708","282.191","14.783"
"Cashiers","2.699","1888.02","1479.933","78.385","134.106","7.103","273.981","14.512"
"Registered Nurses","4.136","2893.97","692.949","23.945","762.702","26.355","1438.319","49.701"
"Stockers and Order Fillers","2.41","1685.79","1306.115","77.478","62.188","3.689","317.487","18.833"
"Waiters and Waitresses","2.394","1674.96","742.142","44.308","588.246","35.12","344.572","20.572"
"Office Clerks, General","2.237","1565.3","905.369","57.84","329.888","21.075","330.042","21.085"
"Heavy and Tractor-Trailer Truck Drivers","1.94","1357.54","726.099","53.486","296.806","21.864","334.635","24.65"
"Medical Secretaries and Administrative Assistants","1.446","1011.77","813.965","80.45","20.775","2.053","177.03","17.497"
"Medical Assistants","1.79","1252.26","426.522","34.06","272.973","21.798","552.765","44.141"
"Bookkeeping, Accounting, and Auditing Clerks","0.979","684.77","605.296","88.394","6.142","0.897","73.332","10.709"
"Cooks, Restaurant","1.298","908.08","266.015","29.294","330.504","36.396","311.562","34.31"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1.207","844.71","294.737","34.892","283.336","33.542","266.638","31.566"
"Receptionists and Information Clerks","0.987","690.73","506.549","73.335","51.956","7.522","132.225","19.143"
"Nursing Assistants","2.234","1563.09","312.212","19.974","219.665","14.053","1031.212","65.973"
"Light Truck Drivers","0.912","638.05","358.498","56.187","155.998","24.449","123.554","19.364"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","0.962","673.26","250.317","37.18","248.408","36.896","174.535","25.924"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.908","635.23","436.401","68.7","58.834","9.262","139.995","22.038"
"Tellers","0.773","540.8","454.131","83.974","39.983","7.393","46.686","8.633"
"Maids and Housekeeping Cleaners","0.964","674.63","239.397","35.486","237.802","35.249","197.431","29.265"
"First-Line Supervisors of Retail Sales Workers","1.104","772.45","285.651","36.98","184.039","23.825","302.76","39.195"
"Driver/Sales Workers","0.78","545.54","315.522","57.837","136.954","25.104","93.064","17.059"
"Laborers and Freight, Stock, and Material Movers, Hand","0.818","572.17","340.553","59.52","99.3","17.355","132.317","23.126"
"Childcare Workers","1.223","855.63","115.941","13.55","314.215","36.723","425.473","49.726"
"Licensed Practical and Licensed Vocational Nurses","1.417","991.7","183.987","18.553","244.434","24.648","563.279","56.799"
"Industrial Truck and Tractor Operators","0.81","566.96","302.948","53.434","116.601","20.566","147.411","26"
"First-Line Supervisors of Office and Administrative Support Workers","1.012","707.86","111.085","15.693","295.943","41.808","300.832","42.499"
"General and Operations Managers","1.413","988.57","76.2","7.708","329.269","33.308","583.1","58.984"
"Food Preparation Workers","0.632","442.1","357.778","80.927","0","0","84.322","19.073"
"Shipping, Receiving, and Inventory Clerks","0.579","405.26","301.875","74.489","28.538","7.042","74.846","18.469"
"First-Line Supervisors of Food Preparation and Serving Workers","0.984","688.11","191.783","27.871","137.65","20.004","358.677","52.125"
"Billing and Posting Clerks","0.519","363.17","297.774","81.993","19.702","5.425","45.694","12.582"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.5","349.93","242.622","69.334","36.055","10.304","71.253","20.362"
"Construction Laborers","0.771","539.46","147.696","27.378","127.995","23.726","263.77","48.895"
"Maintenance and Repair Workers, General","0.734","513.82","164.875","32.088","108.288","21.075","240.657","46.837"
"Insurance Claims and Policy Processing Clerks","0.488","341.39","238.028","69.723","33.849","9.915","69.513","20.362"
