"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Roustabouts, Oil and Gas","5.176","5651","3343.935","59.174","697.623","12.345","1609.442","28.481"
"Heavy and Tractor-Trailer Truck Drivers","5.211","5689.9","2782.298","48.899","1119.279","19.671","1788.322","31.43"
"Fast Food and Counter Workers","3.446","3763.02","2614.698","69.484","389.902","10.361","758.42","20.155"
"Retail Salespersons","3.122","3409.26","2018.54","59.208","740.164","21.71","650.557","19.082"
"Service Unit Operators, Oil and Gas","4.427","4833.91","1564.57","32.367","907.318","18.77","2362.022","48.864"
"Construction Laborers","3.577","3905.28","1132.958","29.011","1008.846","25.833","1763.476","45.156"
"Cashiers","2.021","2207.04","1730.565","78.411","156.791","7.104","319.684","14.485"
"Waiters and Waitresses","1.848","2018.22","894.243","44.308","708.805","35.12","415.172","20.571"
"Office Clerks, General","1.824","1991.66","1129.709","56.722","408.136","20.492","453.814","22.786"
"First-Line Supervisors of Construction Trades and Extraction Workers","3.364","3673.39","211.926","5.769","1200.654","32.685","2260.81","61.546"
"Home Health and Personal Care Aides","4.556","4974.94","534.791","10.75","839.893","16.882","3600.255","72.368"
"Stockers and Order Fillers","1.556","1698.98","1299.868","76.509","61.529","3.622","337.584","19.87"
"Laborers and Freight, Stock, and Material Movers, Hand","1.571","1715.4","960.895","56.016","270.145","15.748","484.36","28.236"
"Rotary Drill Operators, Oil and Gas","1.748","1908.77","847.105","44.38","217.18","11.378","844.485","44.242"
"Derrick Operators, Oil and Gas","1.349","1473.08","786.648","53.402","219.09","14.873","467.342","31.726"
"Operating Engineers and Other Construction Equipment Operators","1.496","1632.88","517.712","31.705","428.043","26.214","687.126","42.081"
"Customer Service Representatives","0.978","1067.93","704.708","65.988","195.487","18.305","167.734","15.706"
"Helpers--Extraction Workers","1.243","1357.59","755.915","55.681","87.342","6.434","514.333","37.886"
"Industrial Machinery Mechanics","1.624","1772.8","722.191","40.737","98.497","5.556","952.112","53.707"
"Bookkeeping, Accounting, and Auditing Clerks","0.853","931.76","806.81","86.59","8.176","0.877","116.775","12.533"
"Welders, Cutters, Solderers, and Brazers","1.034","1129.02","727.977","64.479","70.451","6.24","330.593","29.281"
"Wellhead Pumpers","1.425","1556.41","507.874","32.631","260.703","16.75","787.833","50.619"
"Cooks, Restaurant","1.009","1101.38","322.736","29.303","401.025","36.411","377.619","34.286"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.783","854.55","570.877","66.804","76.207","8.918","207.466","24.278"
"General and Operations Managers","1.456","1589.36","119.518","7.52","501.363","31.545","968.479","60.935"
"Inspectors, Testers, Sorters, Samplers, and Weighers","0.806","880.47","560.99","63.715","2.381","0.27","317.099","36.015"
"Medical Assistants","0.918","1002.76","341.646","34.071","218.668","21.807","442.446","44.123"
"First-Line Supervisors of Retail Sales Workers","0.821","895.87","331.364","36.988","213.498","23.831","351.007","39.181"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.728","794.89","274.712","34.56","260.973","32.831","259.205","32.609"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.724","790.23","269.385","34.089","251.346","31.807","269.499","34.104"
"Food Preparation Workers","0.568","620.46","505.057","81.4","0","0","115.403","18.6"
"Industrial Truck and Tractor Operators","0.597","651.31","313.772","48.176","122.243","18.769","215.295","33.056"
"Maids and Housekeeping Cleaners","0.57","621.89","218.338","35.109","216.713","34.847","186.839","30.044"
"Nursing Assistants","1.138","1242.69","247.999","19.957","174.5","14.042","820.191","66.001"
"Accountants and Auditors","0.505","551.26","202.83","36.794","214.597","38.928","133.834","24.278"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","0.726","793.15","393.607","49.626","16.661","2.101","382.883","48.274"
"First-Line Supervisors of Food Preparation and Serving Workers","0.754","823.35","229.615","27.888","165.015","20.042","428.721","52.07"
"Light Truck Drivers","0.447","488.17","262.21","53.713","112.176","22.979","113.784","23.308"
"Electricians","0.955","1042.18","125.26","12.019","245.171","23.525","671.749","64.456"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.633","691.65","162.31","23.467","205.566","29.721","323.774","46.812"
"Plumbers, Pipefitters, and Steamfitters","0.675","736.58","97.871","13.287","265.132","35.995","373.577","50.718"
"Shipping, Receiving, and Inventory Clerks","0.409","446.11","327.644","73.445","30.544","6.847","87.922","19.709"
"Childcare Workers","0.609","665.15","90.115","13.548","244.104","36.699","330.931","49.753"
"Driver/Sales Workers","0.384","419.36","232.444","55.428","100.289","23.915","86.627","20.657"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.381","416.15","288.527","69.333","42.875","10.303","84.748","20.365"
"Pharmacy Technicians","0.371","404.85","322.134","79.569","0","0","82.716","20.431"
