"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Fast Food and Counter Workers","3.421","5659.19","3928.151","69.412","584.793","10.334","1146.246","20.255"
"Construction Laborers","4.408","7291.33","2005.768","27.509","1741.831","23.889","3543.731","48.602"
"Retail Salespersons","2.711","4484.57","2650.52","59.103","972.3","21.681","861.751","19.216"
"Cashiers","1.827","3021.55","2363.106","78.208","214.391","7.095","444.053","14.696"
"Waiters and Waitresses","1.933","3197.55","1417.179","44.321","1123.269","35.129","657.102","20.55"
"Registered Nurses","2.818","4661.28","1116.056","23.943","1228.205","26.349","2317.02","49.708"
"Heavy and Tractor-Trailer Truck Drivers","2.071","3425.48","1636.256","47.767","653.406","19.075","1135.819","33.158"
"Home Health and Personal Care Aides","4.71","7791.13","838.777","10.766","1317.062","16.905","5635.291","72.33"
"Customer Service Representatives","1.46","2415.08","1604.332","66.43","450.59","18.657","360.158","14.913"
"Office Clerks, General","1.569","2594.54","1474.604","56.835","533.436","20.56","586.5","22.605"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1.381","2284.14","866.987","37.957","870.614","38.116","546.539","23.928"
"First-Line Supervisors of Construction Trades and Extraction Workers","2.989","4944.49","269.975","5.46","1404.593","28.407","3269.922","66.133"
"Laborers and Freight, Stock, and Material Movers, Hand","1.279","2115.59","1198.457","56.649","341.286","16.132","575.847","27.219"
"Electricians","2.587","4279.76","498.681","11.652","971.445","22.699","2809.633","65.649"
"Plumbers, Pipefitters, and Steamfitters","1.859","3074.4","398.581","12.965","1062.997","34.576","1612.821","52.46"
"Stockers and Order Fillers","1.052","1740.36","1341.053","77.056","63.659","3.658","335.648","19.286"
"Operating Engineers and Other Construction Equipment Operators","1.637","2707.19","769.955","28.441","626.079","23.127","1311.156","48.432"
"Medical Secretaries and Administrative Assistants","0.865","1430.34","1151.618","80.514","29.472","2.06","249.25","17.426"
"Cooks, Restaurant","1.034","1710.78","501.209","29.297","622.741","36.401","586.83","34.302"
"Cement Masons and Concrete Finishers","1.02","1687.83","961.356","56.958","60.86","3.606","665.614","39.436"
"Maids and Housekeeping Cleaners","0.83","1372.24","497.27","36.238","494.824","36.06","380.145","27.703"
"Painters, Construction and Maintenance","0.848","1402.29","309.241","22.053","637.246","45.443","455.804","32.504"
"Medical Assistants","0.985","1629.35","557.201","34.198","356.915","21.905","715.233","43.897"
"Roustabouts, Oil and Gas","0.758","1253.4","723.209","57.7","150.207","11.984","379.983","30.316"
"Welders, Cutters, Solderers, and Brazers","0.759","1255.27","791.649","63.066","72.812","5.801","390.809","31.133"
"Bookkeeping, Accounting, and Auditing Clerks","0.595","984.69","854.729","86.802","8.662","0.88","121.299","12.318"
"Carpenters","0.87","1438.43","567.863","39.478","266.45","18.524","604.117","41.998"
"Maintenance and Repair Workers, General","0.94","1555.39","494.383","31.785","324.81","20.883","736.197","47.332"
"Security Guards","1.009","1669.65","379.54","22.732","436.809","26.162","853.301","51.107"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","0.582","963.53","648.105","67.264","86.698","8.998","228.727","23.738"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.647","1070.8","372.688","34.805","357.402","33.377","340.71","31.818"
"First-Line Supervisors of Retail Sales Workers","0.711","1175.83","433.901","36.902","279.463","23.767","462.466","39.331"
"General and Operations Managers","1.075","1779.02","134.65","7.569","572.622","32.188","1071.748","60.244"
"Nursing Assistants","1.198","1981","397.277","20.054","279.415","14.105","1304.308","65.841"
"Industrial Machinery Mechanics","0.762","1260.54","565.584","44.868","78.852","6.255","616.104","48.876"
"Industrial Truck and Tractor Operators","0.564","932.42","459.5","49.28","177.698","19.058","295.222","31.662"
"Light Truck Drivers","0.494","817.63","436.682","53.408","186.274","22.782","194.673","23.809"
"Licensed Practical and Licensed Vocational Nurses","0.867","1434.71","267.533","18.647","355.042","24.747","812.135","56.606"
"Receptionists and Information Clerks","0.467","772.22","564.691","73.126","57.823","7.488","149.706","19.386"
"Machinists","0.585","967.08","508.044","52.534","111.781","11.559","347.255","35.908"
"First-Line Supervisors of Food Preparation and Serving Workers","0.78","1290.18","359.914","27.896","258.822","20.061","671.444","52.043"
"Food Preparation Workers","0.457","756.34","611.491","80.849","0","0","144.849","19.151"
"Automotive Service Technicians and Mechanics","0.84","1389.37","367.767","26.47","231.815","16.685","789.788","56.845"
"Childcare Workers","0.671","1109.96","150.522","13.561","408.825","36.832","550.613","49.607"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.624","1032.97","241.059","23.336","306.957","29.716","484.954","46.948"
"Dining Room and Cafeteria Attendants and Bartender Helpers","0.41","677.77","470.6","69.434","70.094","10.342","137.075","20.224"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","0.969","1602.99","97.164","6.061","423.989","26.45","1081.837","67.489"
"Miscellaneous Assemblers and Fabricators","0.487","805.84","413.169","51.272","73.313","9.098","319.358","39.63"
"Driver/Sales Workers","0.367","606.3","338.461","55.824","146.18","24.11","121.659","20.066"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","0.431","713.03","243.898","34.206","228.817","32.091","240.315","33.703"
"Structural Iron and Steel Workers","0.427","706.97","262.93","37.191","207.491","29.349","236.55","33.46"
