"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Clinical Laboratory Technologists and Technicians","0.335","72.91","25.91","35.536","10.853","14.885","36.148","49.578"
"Bakers","0.208","45.23","35.67","78.864","0.231","0.512","9.328","20.625"
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","0.313","68.22","23.021","33.745","10.916","16.001","34.284","50.255"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","0.201","43.9","32.171","73.283","1.161","2.644","10.568","24.073"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","0.197","42.85","33.084","77.208","0","0","9.766","22.792"
"Data Entry Keyers","0.166","36.19","32.945","91.034","0","0","3.245","8.966"
"Automotive Service Technicians and Mechanics","0.274","59.64","19.389","32.51","12.805","21.47","27.446","46.02"
"Production, Planning, and Expediting Clerks","0.196","42.64","30.124","70.647","1.977","4.636","10.54","24.717"
"Food Batchmakers","0.203","44.3","28.947","65.344","1.938","4.375","13.415","30.282"
"Sewing Machine Operators","0.164","35.7","28.941","81.068","0","0","6.759","18.932"
"Computer Numerically Controlled Tool Operators","0.19","41.44","27.981","67.522","0.304","0.733","13.155","31.746"
"Printing Press Operators","0.175","38.09","26.432","69.393","1.849","4.855","9.809","25.752"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","0.174","37.93","13.242","34.912","12.739","33.584","11.949","31.503"
"Sales and Related Workers, All Other","0.144","31.35","23.448","74.794","0.24","0.764","7.663","24.442"
"Slaughterers and Meat Packers","0.123","26.71","22.599","84.61","0","0","4.111","15.39"
"Paper Goods Machine Setters, Operators, and Tenders","0.13","28.28","21.794","77.064","0","0","6.486","22.936"
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","0.178","38.73","14.789","38.184","6.912","17.846","17.03","43.97"
"Phlebotomists","0.255","55.59","19.029","34.23","2.612","4.699","33.949","61.07"
"Construction Laborers","0.136","29.61","10.928","36.907","10.502","35.468","8.18","27.626"
"Cleaners of Vehicles and Equipment","0.14","30.5","16.588","54.385","4.512","14.793","9.401","30.822"
"Tire Repairers and Changers","0.14","30.59","20.218","66.092","0.717","2.344","9.655","31.563"
"Meat, Poultry, and Fish Cutters and Trimmers","0.117","25.5","17.578","68.934","3.28","12.864","4.641","18.201"
"Maintenance and Repair Workers, General","0.165","35.98","12.023","33.416","8.279","23.01","15.678","43.575"
"Mixing and Blending Machine Setters, Operators, and Tenders","0.119","25.92","18.869","72.797","1.245","4.805","5.806","22.398"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","0.121","26.39","19.056","72.209","0.921","3.488","6.414","24.303"
"Executive Secretaries and Executive Administrative Assistants","0.12","26.06","16.605","63.719","2.96","11.358","6.495","24.922"
"Emergency Medical Technicians and Paramedics","0.209","45.48","5.353","11.771","13.6","29.903","26.527","58.327"
"Radiologic Technologists and Technicians","0.218","47.51","7.815","16.449","10.93","23.005","28.766","60.546"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","0.117","25.57","18.07","70.67","0.489","1.914","7.01","27.417"
"Payroll and Timekeeping Clerks","0.093","20.3","14.859","73.198","3.657","18.015","1.784","8.787"
"Machinists","0.129","28.03","14.928","53.257","3.289","11.733","9.813","35.01"
"Pharmacists","0.131","28.62","12.233","42.743","5.448","19.037","10.939","38.22"
"File Clerks","0.092","19.98","17.084","85.505","0.288","1.443","2.608","13.052"
"Food Service Managers","0.161","35.09","9.831","28.017","7.134","20.33","18.125","51.654"
"Medical and Health Services Managers","0.328","71.38","0","0","16.935","23.725","54.445","76.275"
"First-Line Supervisors of Housekeeping and Janitorial Workers","0.138","30.07","5.063","16.838","11.778","39.168","13.229","43.994"
"Physical Therapist Assistants","0.212","46.19","1.898","4.109","14.559","31.52","29.733","64.371"
"Medical Transcriptionists","0.082","17.88","16.243","90.845","0","0","1.637","9.155"
"Food Preparation and Serving Related Workers, All Other","0.092","20.06","13.922","69.403","2.072","10.33","4.066","20.268"
"Accountants and Auditors","0.092","20.12","7.581","37.68","8.273","41.117","4.266","21.203"
"Human Resources Assistants, Except Payroll and Timekeeping","0.096","20.85","8.151","39.094","7.69","36.885","5.008","24.022"
"Human Resources Specialists","0.097","21.13","5.67","26.832","10.164","48.102","5.296","25.066"
"Opticians, Dispensing","0.118","25.82","11.564","44.788","4.129","15.99","10.127","39.222"
"Project Management Specialists and Business Operations Specialists, All Other","0.098","21.39","9.215","43.079","5.925","27.701","6.25","29.22"
"Pest Control Workers","0.102","22.22","6.916","31.123","8.135","36.612","7.169","32.265"
"Refuse and Recyclable Material Collectors","0.083","18","14.237","79.093","0","0","3.763","20.907"
